id,line_order,point_order,lon,lat
20610000000,0,0,145.05015246671002,-37.674595792510814
20610000000,0,1,145.04791052711644,-37.6744179523557
20610000000,0,2,145.04786190714225,-37.674257642351364
20610000000,0,3,145.04784176715535,-37.67416927234944
20610000000,0,4,145.0478338071634,-37.67410763234851
20610000000,0,5,145.0478305971713,-37.67404021234786
20610000000,0,6,145.04783708718116,-37.67393915234768
20610000000,0,7,145.04785683718862,-37.673839152348414
20610000000,0,8,145.04788961719362,-37.673741422350055
20610000000,0,9,145.04791841719552,-37.67367796235163
20610000000,0,10,145.04795297719627,-37.673616212353636
20610000000,0,11,145.0482550171978,-37.6731228423713
20610000000,0,12,145.04837812717156,-37.67316866238004
20610000000,0,13,145.04849803714663,-37.67320734238854
20610000000,0,14,145.04861647712264,-37.67323975239686
20610000000,0,15,145.04873885709847,-37.67326775240544
20610000000,0,16,145.0488627070746,-37.673290692414106
20610000000,0,17,145.04896274705575,-37.67330526242105
20610000000,0,18,145.04908914703245,-37.67331877242983
20610000000,0,19,145.05036358680124,-37.67342192251802
20610000000,0,20,145.05035029679374,-37.67351195251767
20610000000,0,21,145.05020980669963,-37.67460032251479
20610000000,0,22,145.05015246671002,-37.674595792510814
20610010000,0,0,145.0473291174329,-37.672430572303384
20610010000,0,1,145.04726214745514,-37.67233211229818
20610010000,0,2,145.04720271747647,-37.67223049229346
20610010000,0,3,145.04691363759085,-37.67163730226993
20610010000,0,4,145.04680745763307,-37.67141771226125
20610010000,0,5,145.04675851765504,-37.671293502257114
20610010000,0,6,145.04670737768126,-37.67113303225261
20610010000,0,7,145.04669153769157,-37.67106338225109
20610010000,0,8,145.04668219770085,-37.670992992250014
20610010000,0,9,145.0466789477091,-37.67092233224934
20610010000,0,10,145.04668146771633,-37.67085161224908
20610010000,0,11,145.04669044772245,-37.67078122224925
20610010000,0,12,145.04670558772744,-37.67071147224986
20610010000,0,13,145.0467264377313,-37.67064271225087
20610010000,0,14,145.046753437734,-37.670575292252295
20610010000,0,15,145.04681249773608,-37.67046172225565
20610010000,0,16,145.04690575774106,-37.67026804226085
20610010000,0,17,145.0469899677486,-37.67006517226538
20610010000,0,18,145.04706339775822,-37.66985971226914
20610010000,0,19,145.04712639777037,-37.66964829227215
20610010000,0,20,145.04717249778295,-37.669459212274155
20610010000,0,21,145.04734996774877,-37.66949206228653
20610010000,0,22,145.04741872773525,-37.669507362291355
20610010000,0,23,145.04766604768432,-37.669582882308816
20610010000,0,24,145.04783420765074,-37.66962489232063
20610010000,0,25,145.0479763776231,-37.66965335233058
20610010000,0,26,145.04814737759077,-37.66967926234246
20610010000,0,27,145.04813405758188,-37.66978212234221
20610010000,0,28,145.04812145757788,-37.66983883234168
20610010000,0,29,145.04808726756946,-37.66997051234016
20610010000,0,30,145.0480530575632,-37.6700823823385
20610010000,0,31,145.04800648755736,-37.67021010233611
20610010000,0,32,145.04786672754398,-37.670555112328636
20610010000,0,33,145.047948597527,-37.670581142334434
20610010000,0,34,145.0481981874591,-37.670809602353
20610010000,0,35,145.04817219746062,-37.67083664235138
20610010000,0,36,145.04836352741412,-37.6709605623653
20610010000,0,37,145.04850470738413,-37.671012602375335
20610010000,0,38,145.04891310727874,-37.67133327240538
20610010000,0,39,145.04811569734676,-37.67197373235459
20610010000,0,40,145.0479461173624,-37.672099272343715
20610010000,0,41,145.04776686738066,-37.67221619233213
20610010000,0,42,145.04757855740144,-37.672323822319875
20610010000,0,43,145.04736003742738,-37.67243217230554
20610010000,0,44,145.0473291174329,-37.672430572303384
20610020000,0,0,145.05912307587823,-37.66800572308626
20610020000,0,1,145.05899488591106,-37.667907523076835
20610020000,0,2,145.05893009592813,-37.66785326307204
20610020000,0,3,145.05886925594487,-37.667796023067496
20610020000,0,4,145.0587993859651,-37.66772085306222
20610020000,0,5,145.05801390621133,-37.66670350300191
20610020000,0,6,145.0579858062199,-37.66666930299976
20610020000,0,7,145.05793828623334,-37.66662107299619
20610020000,0,8,145.05788466624742,-37.66657696299223
20610020000,0,9,145.05782560626187,-37.666537542987925
20610020000,0,10,145.0577619162766,-37.66650326298333
20610020000,0,11,145.0576938762915,-37.66647436297847
20610020000,0,12,145.05762222630636,-37.66645133297341
20610020000,0,13,145.05766664630673,-37.66637746297601
20610020000,0,14,145.05774519632135,-37.666118612979794
20610020000,0,15,145.0580362862674,-37.66615277300001
20610020000,0,16,145.05813304624954,-37.66616308300673
20610020000,0,17,145.0581237062525,-37.666150943006016
20610020000,0,18,145.05843471621523,-37.66600004302645
20610020000,0,19,145.05861692619453,-37.66590136303836
20610020000,0,20,145.05887928611213,-37.66624254305852
20610020000,0,21,145.05922169600422,-37.66669142308485
20610020000,0,22,145.05941091594843,-37.66690384309918
20610020000,0,23,145.05979562583846,-37.66730438312811
20610020000,0,24,145.06003830577478,-37.66750459314605
20610020000,0,25,145.06020380573474,-37.66760998315808
20610020000,0,26,145.0603689956932,-37.66772968317018
20610020000,0,27,145.06053930565133,-37.6678446931826
20610020000,0,28,145.06068906561515,-37.66793947319349
20610020000,0,29,145.06057818562323,-37.6680412631865
20610020000,0,30,145.060480985628,-37.6681516131805
20610020000,0,31,145.0604244756293,-37.66822927317711
20610020000,0,32,145.0603866656293,-37.668289493174875
20610020000,0,33,145.06032293562671,-37.66841422317126
20610020000,0,34,145.0602897956231,-37.668500003169534
20610020000,0,35,145.06025887561654,-37.66860943316808
20610020000,0,36,145.06017894557934,-37.6690780731655
20610020000,0,37,145.0599276756252,-37.66905502314809
20610020000,0,38,145.0597919356491,-37.669050973138724
