stop_id,stop_name,stop_lat,stop_lon
16266,McGregor's Garage/Donald - Swan Hill Rd (Lalbert),-35.6707728313468,143.375328701427
16267,Gear Ave/Warrenheip St (Mount Helen),-37.6281184388995,143.8799558306
16268,Gear Ave/Warrenheip St (Mount Helen),-37.6280059306016,143.880130466614
16269,Navigators Rd (Navigators),-37.6083727064933,143.935427867104
16270,Navigators Rd (Navigators),-37.6082928775713,143.935476448385
16271,Warrenheip Rd/Navigators Rd (Warrenheip),-37.5848554981805,143.917428587578
16272,Warrenheip Rd/Navigators Rd (Warrenheip),-37.5846740107713,143.917379468199
16273,Sovereign Hill/Bradshaw St (Golden Point (3350)),-37.5746113060981,143.866162088247
16274,Sovereign Hill/Bradshaw St (Golden Point (3350)),-37.5746299071349,143.866183948762
16287,Morwell Railway Station (Morwell),-38.2368499765081,146.397734646695
16289,Newborough TAFE/Monash Rd (Yallourn),-38.1760700425835,146.307823661043
16291,Centre Valley Rd/Princes Dr (Morwell),-38.2350887116289,146.429434303748
16292,Mid Valley Shopping Centre/Mid Valley Dr (Morwell),-38.2368462071002,146.431305956229
16295,Traralgon Railway Station (Traralgon),-38.1983203513955,146.538696549727
16297,Traralgon Plaza SC/Franklin St (Traralgon),-38.1944258686382,146.538424198562
16298,Latrobe St/Princes Hwy (Rosedale),-38.1509919240921,146.784688042564
16299,Latrobe St/Princes Hwy (Rosedale),-38.1513821973477,146.786182044219
16301,Gippsland Shopping Centre/Cunninghame St (Sale),-38.1072261736596,147.063511370193
16302,Sale Railway Station (Sale),-38.1032289547283,147.054691169467
16307,Lindenow Rd/Princes Hwy (Lindenow),-37.8810118521181,147.421780072426
16308,Lindenow Rd/Princes Hwy (Lindenow),-37.8812729392075,147.421861161788
16309,Bairnsdale Railway Station (Bairnsdale),-37.8284601510505,147.627407010511
16313,Bailey St/Princes Hwy (Bairnsdale),-37.8255138735402,147.632279443051
16314,Bailey St/Princes Hwy (Bairnsdale),-37.8261207673811,147.631716475403
16316,General Store/Princes Hwy (Nicholson),-37.8166363585808,147.739057988795
16342,Cranbourne Park SC/Lyall St (Cranbourne),-38.109637497242,145.284160254073
16386,General Store/Princes Hwy (Johnsonville),-37.8200960027045,147.831203405445
16388,General Store/Princes Hwy (Swan Reach),-37.8219948112839,147.856766813278
16390,Hunters Lane/Princes Hwy (Kalimna West),-37.8688540031298,147.95722252657
16516,Hunters Lane/Princes Hwy (Kalimna West),-37.8700030805217,147.957783126602
16554,Lookout Rd/Princes Hwy (Kalimna),-37.8792437124931,147.961893953857
16556,Post Office/Princes Hwy (Lakes Entrance),-37.8815441210438,147.982369282348
16558,Police Station/Roadknight St (Lakes Entrance),-37.8775876187641,147.99523369832
16559,Monica St/Guthrie St (Quambatook),-35.8508122651402,143.520840698125
16834,Station St/High St (Cranbourne),-38.101640821487,145.28270509874
169,RMIT Bundoora Campus West/Plenty Rd (Bundoora),-37.6807062323141,145.068991955138
16934,Barraport East Rd/Boort - Quambatook Rd (Barraport),-36.0090148082663,143.66919494381
16935,Barraport East Rd/Boort - Quambatook Rd (Barraport),-36.0091721309143,143.669343590149
16936,Information Centre/Godfrey St (Boort),-36.116610860273,143.727112286024
16937,CFA/Boort-Wedderburn Rd (Mysia),-36.2299484265654,143.755346047971
16941,Hunter St/Loddon Valley Hwy (Serpentine),-36.4104089206903,143.974263841798
16942,Hunter St/Loddon Valley Hwy (Serpentine),-36.4102277719826,143.974583039654
16943,Inglewood St/Bendigo - Pyramid Rd (Raywood),-36.535892483553,144.206323775455
16944,Inglewood St/Bendigo - Pyramid Rd (Raywood),-36.5359154622316,144.206535131761
16946,Dingee Railway Station (Dingee),-36.3689821291324,144.231965006859
16947,Dingee Railway Station (Dingee),-36.3687302518123,144.231985079681
16948,Glossop St/Bendigo - Pyramid Rd (Mitiamo),-36.2115703824277,144.231863005295
16949,Glossop St/Bendigo - Pyramid Rd (Mitiamo),-36.2112837633188,144.231939835028
16950,Boort - Pyramid Rd/Loddon Valley Hwy (Durham Ox),-36.1257249094594,143.920786811792
16953,Post Office/King Edward St (Cohuna),-35.8090744539151,144.21977513271
16955,Kerang Railway Station (Kerang),-35.7331373647543,143.924336061163
16956,Service Station/Murray Valley Hwy (Lake Charm),-35.6080167598572,143.80177440351
16957,Murray Valley Hwy (Lake Boga),-35.4638155192858,143.636530043254
16958,Murray Valley Hwy (Lake Boga),-35.4640464803767,143.636410266538
16959,Swan Hill Railway Station (Swan Hill),-35.3416626129977,143.562319921521
16961,McAlpine Rd/Murray Valley Hwy (Nyah),-35.1760461681964,143.377303040381
16962,McAlpine Rd/Murray Valley Hwy (Nyah),-35.1755108168483,143.377480468778
16963,Algie Rd/Murray Valley Hwy (Wood Wood),-35.1044291629884,143.345927716508
16964,Algie Rd/Murray Valley Hwy (Wood Wood),-35.1046095467315,143.345634563068
16965,Post Office/Murray Valley Hwy (Boundary Bend),-34.7160556765441,143.150459118491
16967,Fitzgerald Rd/Robinvale - Sea Lake Rd (Bannerton),-34.7011010199263,142.793776411189
16968,Annuello turn off/Robinvale - Sea Lake Rd (Annuello),-34.8539897970925,142.833286285579
16969,Robinvale Railway Station/Bromley Rd (Robinvale),-34.584790079974,142.770342020324
17124,General Store/Murray St (Piangil),-35.0542205869387,143.310581971833
17125,General Store/Murray St (Piangil),-35.0538456443862,143.310697481574
17126,Robinvale - Sea Lake Rd/Mallee Hwy (Manangatang),-35.0550695452955,142.882331027206
17127,Robinvale - Sea Lake Rd/Mallee Hwy (Manangatang),-35.054669785868,142.88196765818
17128,Corner Store/Main St (Bealiba),-36.7882095296174,143.550893422479
17129,Corner Store/Main St (Bealiba),-36.7881690846731,143.551052067989
17130,Poverty St/Commercial Rd (Tarnagulla),-36.7722473292903,143.833297332915
17133,Poverty St/Commercial Rd (Tarnagulla),-36.7715695732872,143.833224429363
17134,Raglan St/Albert St (Creswick),-37.4245071742328,143.894318873575
17135,Raglan St/Albert St (Creswick),-37.4245467375203,143.894452810868
17136,Talbot Town Hall/Ballarat St (Talbot),-37.1702686779523,143.702095468652
17137,Talbot Town Hall/Ballarat St (Talbot),-37.170276510361,143.702376604677
17138,Carisbrook General Store/Green St (Carisbrook),-37.0490549807122,143.813088219592
17139,Carisbrook General Store/Green St (Carisbrook),-37.0489739773261,143.813091609821
17140,Locks Lane/Pyrenees Hwy (Moolort),-37.0795809910482,143.931130759891
17141,Locks Lane/Pyrenees Hwy (Moolort),-37.0794442250418,143.931068800113
17142,Panmure St/Pyrenees Hwy (Newstead),-37.1066834874358,144.061487169328
17143,Panmure St/Pyrenees Hwy (Newstead),-37.1067968129027,144.061696550388
17144,Market St/Calder Hwy (Harcourt),-36.996828254281,144.260982015219
17145,Market St/Calder Hwy (Harcourt),-36.9969282670423,144.260630141876
17146,Guildford General Store/Midland Hwy (Guildford),-37.1489887391063,144.166443039428
17147,Guildford General Store/Midland Hwy (Guildford),-37.1488300341574,144.166212564113
17148,CFA/Bridport St (Daylesford),-37.3427100410801,144.141037843931
17149,Hotel/Midland Hwy (Blampied),-37.3672211048102,144.042237260324
17150,Hotel/Midland Hwy (Blampied),-37.3672753661416,144.041885152849
17151,Antique Shop/Midland Hwy (Newlyn),-37.4017706068027,143.994502783536
17152,Antique Shop/Midland Hwy (Newlyn),-37.4016777222573,143.994393550788
17153,Hadfield Park/High St (Wallan),-37.4145041824714,144.979108615739
17154,Hadfield Park/High St (Wallan),-37.4143482147327,144.97947436738
17155,Murchison/Stevenson St (Murchison),-36.61657460203,145.217087674767
17156,Murchison East Railway Station (Murchison East),-36.6130450255843,145.240380736936
17191,Seymour Railway Station (Seymour),-37.0252920972136,145.137445074794
17231,Euroa Station/Railway St (Euroa),-36.7493959950029,145.56841973089
17234,Benalla Railway Station (Benalla),-36.5448214830052,145.984000882211
17236,Victory Park/Hall Rd (Goorambat),-36.4112262329747,145.922762434295
17237,Victory Park/Hall Rd (Goorambat),-36.4111102617273,145.922897871292
17238,Town Hall/Devenish Rd (Devenish),-36.3310687938727,145.894475756494
17239,Town Hall/Devenish Rd (Devenish),-36.3309256041501,145.894589194619
17240,St James Rd/Devenish Rd (Saint James),-36.269946423971,145.894391803753
17241,St James Rd/Devenish Rd (Saint James),-36.2699742887932,145.89448047345
17242,Saunders Reserve/Middleton St (Tungamah),-36.1640333858999,145.877536801301
17243,Saunders Reserve/Middleton St (Tungamah),-36.1638443011305,145.877561732898
17245,Melbourne St/Inglis St (Mulwala (NSW)),-35.989225647857,146.005095275378
17246,Sanger St/River St (Corowa (NSW)),-35.9987767402353,146.391420412663
17247,Blanche St/Foord St (Wahgunyah),-36.0102762157962,146.394061804268
17248,Blanche St/Foord St (Wahgunyah),-36.0102842780925,146.393873099939
17253,Wangaratta Railway Station (Wangaratta),-36.3550655977885,146.317172513251
17257,Wodonga Railway Station (Wodonga),-36.1051508334056,146.871189009817
17265,Station St/High St (Cranbourne),-38.1014381301123,145.282401926374
17326,Cranbourne Park SC/High St (Cranbourne),-38.1089023089615,145.283185175735
17337,Clyde-Five Ways Rd/South Gippsland Hwy (Devon Meadows),-38.1594681008969,145.318123358899
17338,Clyde-Five Ways Rd/South Gippsland Hwy (Clyde),-38.1589763776142,145.318397164742
17339,Lyall St/South Gippsland Hwy (Tooradin),-38.2136638555376,145.381536182771
17340,Mickle St/South Gippsland Hwy (Tooradin),-38.213747330756,145.381054608553
17341,Koo Wee Rup Bus Interchange/Rossiter Rd (Koo Wee Rup),-38.199981920924,145.490260104454
17342,Lang Lang Bus Interchange/Western Port Rd (Lang Lang),-38.2655805482188,145.562868643871
17343,Mitchell St/Davis St (Nyora),-38.3349171797691,145.672171802786
17344,Mitchell St/Davis St (Nyora),-38.3337580034235,145.672467549566
17345,Clarence St/Victoria Rd (Loch),-38.3686890867497,145.706444453977
17346,Clarence St/Victoria Rd (Loch),-38.3688138379403,145.706316318614
17347,King St/Commercial St (Korumburra),-38.4308806440539,145.822823118664
17348,King St/Commercial St (Korumburra),-38.4303669706606,145.821926388546
17349,Coal Creek Museum/South Gippsland Hwy (Korumburra),-38.4415766927365,145.82992545965
17350,Coal Creek Museum/South Gippsland Hwy (Korumburra),-38.4403219340504,145.828811358846
17351,Leongatha Railway Station/Long St (Leongatha),-38.4771386611348,145.947889100741
17352,Welsford St/South Gippsland Hwy (Meeniyan),-38.5777458658639,146.01414417855
17353,Welsford St/South Gippsland Hwy (Meeniyan),-38.5789442051196,146.011980975491
17354,Neals Rd/Meeniyan - Promontory Rd (Buffalo),-38.6498100695002,146.018190639471
17355,Neals Rd/Meeniyan - Promontory Rd (Buffalo),-38.6498545436804,146.018121082578
17356,Roo Fuel/Meeniyan - Promontory Rd (Fish Creek),-38.6940760179964,146.082691664836
17357,Roo Fuel/Meeniyan - Promontory Rd (Fish Creek),-38.6941471111678,146.082564270256
17358,Pulhams Store/Main St (Foster),-38.652214252853,146.200169485491
17360,Newsagency/Stanley St (Toora),-38.6648001008167,146.323879446089
17361,Post Office/South Gippsland Hwy (Welshpool),-38.6654523694977,146.436793926424
17362,Post Office/South Gippsland Hwy (Welshpool),-38.6656063939919,146.436965136067
17363,Alberton Store/South Gippsland Hwy (Alberton),-38.6146143890774,146.666745654274
17364,Alberton Store/South Gippsland Hwy (Alberton),-38.6143985964135,146.666918947408
17365,Memorial Park/Grant St (Yarram),-38.564845859326,146.674758000997
17368,Pier Rd/Bass Hwy (Grantville),-38.4069591250789,145.530387544235
17369,Grantville-Glen Alvie Rd/Bass Hwy (Grantville),-38.4081534845426,145.530054126527
17370,Corinella Rd/Bass Hwy (Corinella),-38.4330714103337,145.49674845439
17371,Corinella Rd/Bass Hwy (Corinella),-38.432969076561,145.496498530275
17375,5 Bass School Rd (Bass),-38.4839798334544,145.466364609109
17376,63-65 Hade Ave (Bass),-38.4832661730918,145.466918571494
17377,Anderson Bus Interchange/Bass Hwy (Anderson),-38.5263463628307,145.447524346105
17378,San Remo Post Office/Marine Pde (San Remo),-38.5206591317115,145.371173089977
17379,Forrest Ave/Phillip Island Rd (Newhaven),-38.5149032300913,145.357791785753
17380,Forrest Ave/Phillip Island Rd (Newhaven),-38.5153454343069,145.359123672958
17381,Walton St/Thompson Ave (Cowes),-38.4590475109216,145.239067535684
17382,Walton St/Thompson Ave (Cowes),-38.4587644756094,145.238822289797
17384,Peppermint Rd/Bass Hwy (Kilcunda),-38.5494551390052,145.475921722103
17385,Peppermint Rd/Bass Hwy (Kilcunda),-38.5495703121761,145.475770113702
17386,Ozone Hotel/Bass Hwy (Dalyston),-38.5634652544568,145.546567464615
17387,Ozone Hotel/Bass Hwy (Dalyston),-38.5633228183074,145.546708062748
17419,Albury Railway Station (Albury (NSW)),-36.0842434591729,146.924326634016
17452,Visitors Centre/Jondaryan Ave (Griffith (NSW)),-34.2890599689413,146.050593612892
17453,Rivadestra Pizza & Pasta/Bridge Rd (Darlington Point (NSW)),-34.5676520636152,146.00026919884
17480,Opposite Bendigo Bank/Kingfisher Ave (Coleambally (NSW)),-34.805207841895,145.881243570552
17486,Caltex Roadhouse/Newell Hwy (Jerilderie (NSW)),-35.3588571638695,145.7396800763
17531,Caltex Roadhouse/Newell Hwy (Jerilderie (NSW)),-35.3586013082039,145.739353871005
17532,Memorial Park/Wollamai St (Finley (NSW)),-35.6399770706087,145.579443971836
17566,Deniliquin Rd/Morris St (Tocumwal (NSW)),-35.811804836694,145.567457517114
17567,General Store/Nangunia St (Barooga (NSW)),-35.9119364992097,145.690538073253
17568,General Store/Nangunia St (Barooga (NSW)),-35.9120760046789,145.690103569138
17569,Cobram Station/Punt Rd (Cobram),-35.9204798915264,145.644767218787
17570,Kokoda Rd/Murray Valley Hwy (Yarroweyah),-35.9255621769939,145.560165500742
17571,Kokoda Rd/Murray Valley Hwy (Yarroweyah),-35.925387602776,145.559891569946
17572,Maguire St/Murray Valley Hwy (Strathmerton),-35.9253487140408,145.479257799341
17573,Maguire St/Murray Valley Hwy (Strathmerton),-35.9257351694712,145.478452367098
17574,General Store/Numurkah Rd (Katunga),-35.9993741351397,145.460430968666
17575,General Store/Numurkah Rd (Katunga),-35.9993458156386,145.460331672896
17576,Quinn St/Mieklejohn St (Numurkah),-36.0899478805525,145.441017537521
17577,Walter St/Goulburn Valley Hwy (Wunghnu),-36.1537327592778,145.43178568791
17578,Walter St/Goulburn Valley Hwy (Wunghnu),-36.1538942533169,145.431726892915
17579,Victoria Rd/Goulburn Valley Hwy (Tallygaroopna),-36.2391202152219,145.431861981981
17580,Victoria Rd/Goulburn Valley Hwy (Tallygaroopna),-36.2389350118298,145.431487337356
17581,Hogan St/Fraser St (Tatura),-36.4404761337622,145.225309431645
17584,General Store/Whittlesea-Yea Rd (Kinglake West),-37.4756255045128,145.236794073326
17585,Silver Creek Rd/Whittlesea-Yea Rd (Hazeldene),-37.373980928812,145.280249947774
17586,Silver Creek Rd/Whittlesea-Yea Rd (Hazeldene),-37.3744379647538,145.280070111749
17587,Hazeldene Bridge/Whittlesea-Yea Rd (Hazeldene),-37.3441645606943,145.288809873995
17588,Hazeldene Bridge/Whittlesea-Yea Rd (Hazeldene),-37.3441946924101,145.289023675907
17589,Flowerdale Hotel/Whittlesea-Yea Rd (Flowerdale),-37.3206971209694,145.288326565696
17590,Flowerdale Hotel/Whittlesea-Yea Rd (Flowerdale),-37.320339530841,145.287905841801
17681,Moorabool St/Malop St (Geelong),-38.1472285263851,144.360369327844
17686,Grossmans Rd/Surf Coast Hwy (Torquay),-38.3230576707114,144.318407974269
17689,Ocean View Cres/Great Ocean Rd (Jan Juc),-38.3388086431447,144.305895353221
17691,Bells Bvd/Great Ocean Rd (Jan Juc),-38.3385231581862,144.286103802424
17692,Bells Bvd/Great Ocean Rd (Jan Juc),-38.3388416562476,144.287796432572
17693,Adiscott Rd/Great Ocean Rd (Bellbrae),-38.349558874593,144.257786135122
17694,Adiscott Rd/Great Ocean Rd (Bellbrae),-38.3494023624171,144.257643304176
