route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
12-831-aus-1,,831,Kingsmere Estate - Berwick Station,3,FF8200,FFFFFF
12-834-aus-1,,834,Berwick Station,3,FF8200,FFFFFF
12-835-aus-1,,835,Berwick Station,3,FF8200,FFFFFF
12-836-aus-1,,836,Eden Rise SC - Berwick Station,3,FF8200,FFFFFF
12-837-aus-1,,837,Beaconsfield East - Berwick Station,3,FF8200,FFFFFF
12-838-aus-1,,838,Emerald - Fountain Gate SC,3,FF8200,FFFFFF
12-839-aus-1,,839,North Berwick - Berwick Station,3,FF8200,FFFFFF
12-840-aus-1,,840,Gembrook - Pakenham,3,FF8200,FFFFFF
12-841-aus-1,,841,Cranbourne - Narre Warren North,3,FF8200,FFFFFF
12-842-aus-1,,842,Endeavour Hills SC - Fountain Gate SC,3,FF8200,FFFFFF
12-846-aus-1,,846,Eden Rise SC - Berwick Station,3,FF8200,FFFFFF
12-847-aus-1,,847,Berwick - Casey Central SC,3,FF8200,FFFFFF
12-888-aus-1,,888,Clyde - Berwick Station,3,FF8200,FFFFFF
12-889-aus-1,,889,Clyde North - Berwick Station,3,FF8200,FFFFFF
12-899-aus-1,,899,The Avenue Village SC - Berwick Station,3,FF8200,FFFFFF
12-925-aus-1,,925,Lakeside - Pakenham Station,3,FF8200,FFFFFF
12-926-aus-1,,926,Pakenham Station - Fountain Gate SC,3,FF8200,FFFFFF
12-927-aus-1,,927,Pakenham North - Pakenham Station,3,FF8200,FFFFFF
12-928-aus-1,,928,Cardinia Road Station - Pakenham Station,3,FF8200,FFFFFF
12-929-aus-1,,929,Pakenham North (Army Rd) - Pakenham Station,3,FF8200,FFFFFF
13-460-aus-1,,460,Caroline Springs Station - Watergardens Railway Station,3,FF8200,FFFFFF
13-462-aus-1,,462,Caroline Springs - Watergardens,3,FF8200,FFFFFF
13-463-aus-1,,463,Hillside - Watergardens,3,FF8200,FFFFFF
13-469-aus-1,,469,Keilor East - Moonee Ponds,3,FF8200,FFFFFF
13-476-aus-1,,476,Watergardens - Moonee Ponds,3,FF8200,FFFFFF
14-200-aus-1,,200,Bulleen - City (Queen St),3,FF8200,FFFFFF
14-207-aus-1,,207,Doncaster SC - City (Queen St),3,FF8200,FFFFFF
14-270-aus-1,,270,Mitcham - Box Hill,3,FF8200,FFFFFF
14-271-aus-1,,271,Ringwood - Box Hill,3,FF8200,FFFFFF
14-273-aus-1,,273,The Pines SC - Nunawading Station,3,FF8200,FFFFFF
14-279-aus-1,,279,Doncaster SC/Templestowe - Box Hill,3,FF8200,FFFFFF
14-280-aus-1,,280,The Pines SC,3,FF8200,FFFFFF
14-281-aus-1,,281,Deakin University - Templestowe,3,FF8200,FFFFFF
14-282-aus-1,,282,The Pines SC,3,FF8200,FFFFFF
14-284-aus-1,,284,Doncaster Park & Ride - Box Hill,3,FF8200,FFFFFF
14-285-aus-1,,285,Camberwell SC - Doncaster Park & Ride,3,FF8200,FFFFFF
14-293-aus-1,,293,Greensborough - Box Hill,3,FF8200,FFFFFF
14-295-aus-1,,295,The Pines SC - Doncaster SC,3,FF8200,FFFFFF
14-302-aus-1,,302,Box Hill Station - City (Lonsdale St),3,FF8200,FFFFFF
14-303-aus-1,,303,Ringwood North - City (Queen St),3,FF8200,FFFFFF
14-304-aus-1,,304,Doncaster SC - City (Lonsdale St),3,FF8200,FFFFFF
14-305-aus-1,,305,The Pines - City (King/Lonsdale Sts),3,FF8200,FFFFFF
14-309-aus-1,,309,Donvale - City (Queen St),3,FF8200,FFFFFF
14-318-aus-1,,318,Deep Creek - City (King/Lonsdale Sts),3,FF8200,FFFFFF
14-364-aus-1,,364,Warrandyte - Ringwood Station,3,FF8200,FFFFFF
14-370-aus-1,,370,Ringwood - Mitcham,3,FF8200,FFFFFF
14-380-aus-1,,380,Ringwood Loop - Ringwood Loop,3,FF8200,FFFFFF
14-901-aus-1,,901,Frankston - Melbourne Airport,3,FF8200,FFFFFF
14-903-aus-1,,903,Mordialloc - Altona,3,FF8200,FFFFFF
14-905-aus-1,,905,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF
14-906-aus-1,,906,Warrandyte - City (King/Lonsdale Sts),3,FF8200,FFFFFF
14-907-aus-1,,907,Mitcham - City (King/Lonsdale Sts),3,FF8200,FFFFFF
14-908-aus-1,,908,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF
15-503-aus-1,,503,Essendon - East Brunswick,3,FF8200,FFFFFF
15-506-aus-1,,506,Moonee Ponds - Westgarth,3,FF8200,FFFFFF
16-501-aus-1,,501,,3,FF8200,FFFFFF
16-511-aus-1,,511,Mandalay - Donnybrook Station,3,FF8200,FFFFFF
16-528-aus-1,,528,Craigieburn Central SC - Craigieburn Station,3,FF8200,FFFFFF
16-529-aus-1,,529,Craigieburn North - Craigieburn Station,3,FF8200,FFFFFF
16-530-aus-1,,530,Coburg - Campbellfield,3,FF8200,FFFFFF
16-531-aus-1,,531,North Coburg - Upfield Station,3,FF8200,FFFFFF
16-532-aus-1,,532,Broadmeadows - Craigieburn,3,FF8200,FFFFFF
16-533-aus-1,,533,Craigieburn North - Craigieburn,3,FF8200,FFFFFF
16-537-aus-1,,537,Craigieburn West - Craigieburn Station,3,FF8200,FFFFFF
16-544-aus-1,,544,Roxburgh Park - Craigieburn,3,FF8200,FFFFFF
17-200-aus-1,,200,Bulleen - City (Queen St),3,FF8200,FFFFFF
17-202-aus-1,,202,Yarra Bend - Melbourne University,3,FF8200,FFFFFF
17-207-aus-1,,207,Doncaster SC - City (Queen St),3,FF8200,FFFFFF
17-234-aus-1,,234,Garden City - City (Queen Victoria Market),3,FF8200,FFFFFF
17-235-aus-1,,235,Fishermans Bend - City (Queen Victoria Market),3,FF8200,FFFFFF
17-236-aus-1,,236,Garden City - City (Queen Victoria Market),3,FF8200,FFFFFF
17-237-aus-1,,237,Fishermans Bend - City (Queen Victoria Market),3,FF8200,FFFFFF
