service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T0,0,0,1,1,0,0,0,20240221,20240222
T0_1,0,0,0,0,1,0,0,20240223,20240225
T0_10,0,1,0,0,0,0,0,20240227,20240227
T0_11,0,0,1,0,0,0,0,20240228,20240228
T0_12,0,0,0,1,0,0,0,20240229,20240229
T0_13,1,1,1,0,0,0,0,20240304,20240306
T0_14,0,0,0,1,0,0,0,20240307,20240307
T0_2,1,1,1,1,0,0,0,20240226,20240229
T0_3,0,0,0,0,1,0,0,20240301,20240303
T0_4,1,1,1,1,0,0,0,20240304,20240307
T0_5,1,1,1,1,1,0,0,20240308,20240526
T0_6,0,0,1,1,0,0,0,20240221,20240222
T0_7,0,0,1,0,0,0,0,20240221,20240221
T0_8,0,0,0,1,0,0,0,20240222,20240222
T0_9,1,0,0,0,0,0,0,20240226,20240226
T0+WD01,1,0,0,0,0,0,0,20240226,20240229
T0+WD01_1,1,0,0,0,0,0,0,20240304,20240306
T0+WD03,1,1,0,0,0,0,0,20240226,20240229
T0+WD04,0,0,1,0,0,0,0,20240226,20240229
T0+WD06,0,1,1,0,0,0,0,20240226,20240229
T0+WD08,0,0,0,1,0,0,0,20240226,20240229
T0+WD08_1,0,0,0,1,0,0,0,20240304,20240307
T0+WD10,0,0,0,0,1,0,0,20240308,20240526
T0+WD1C,0,0,1,1,0,0,0,20240226,20240229
T0+WD6F,1,1,1,1,0,0,0,20240308,20240526
T0+WD77,1,1,1,0,0,0,0,20240304,20240307
T0+WD77_1,1,1,1,0,0,0,0,20240226,20240229
T0+WD77_2,0,0,1,0,0,0,0,20240221,20240222
T0+WD7B,1,1,0,1,0,0,0,20240226,20240229
T0+WD7D,0,0,1,1,0,0,0,20240221,20240222
T0+WD7E,0,1,1,1,0,0,0,20240226,20240229
T0+WD7E_1,0,0,1,1,0,0,0,20240221,20240222
T0+WD7E_2,0,1,1,0,0,0,0,20240304,20240306
T2,0,0,0,0,0,1,0,20240223,20240225
T2_1,0,0,0,0,0,1,0,20240301,20240303
T2_2,0,0,0,0,0,1,0,20240308,20240526
T2_3,0,0,0,0,0,1,0,20240304,20240526
T3,0,0,0,0,0,0,1,20240223,20240225
T3_1,0,0,0,0,0,0,1,20240301,20240303
T3_2,0,0,0,0,0,0,1,20240308,20240526
T3_3,0,0,0,0,0,0,1,20240304,20240526
UT,1,0,0,0,0,0,0,20240308,20240526
UT_1,1,0,0,0,0,0,0,20240304,20240526
