service_id,date,exception_type
T0,20240311,2
T0,20240329,2
T0,20240401,2
T0,20240425,2
T0_1,20240311,2
T0_1,20240329,2
T0_1,20240401,2
T0_1,20240425,2
T0_14,20240329,2
T0_14,20240401,2
T0_14,20240425,2
T0+WD01,20240311,2
T0+WD01,20240401,2
T0+WD07,20240311,2
T0+WD07,20240401,2
T0+WD08,20240425,2
T0+WD0A,20240425,2
T0+WD0C,20240425,2
T0+WD0E,20240425,2
T0+WD10,20240329,2
T0+WD10_1,20240329,2
T0+WD11,20240311,2
T0+WD11,20240329,2
T0+WD11,20240401,2
T0+WD12,20240329,2
T0+WD14,20240329,2
T0+WD18,20240329,2
T0+WD18,20240425,2
T0+WD18_1,20240329,2
T0+WD18_1,20240425,2
T0+WD6D,20240311,2
T0+WD6D,20240401,2
T0+WD6D,20240425,2
T0+WD6F,20240311,2
T0+WD6F,20240401,2
T0+WD6F,20240425,2
T0+WD75,20240311,2
T0+WD75,20240329,2
T0+WD75,20240401,2
T0+WD75_1,20240311,2
T0+WD75_1,20240329,2
T0+WD75_1,20240401,2
T0+WD79,20240311,2
T0+WD79,20240329,2
T0+WD79,20240401,2
T0+WD79,20240425,2
T3,20240331,2
T3_1,20240331,2
UG,20240222,2
UG,20240229,2
UG,20240307,2
UG,20240314,2
UG,20240321,2
UG,20240328,2
UG,20240404,2
UG,20240411,2
UG,20240418,2
UG,20240502,2
UG,20240509,2
UG,20240516,2
UG,20240523,2
UK,20240225,2
UK,20240303,2
UK,20240310,2
UK,20240317,2
UK,20240324,2
UK,20240407,2
UK,20240414,2
UK,20240421,2
UK,20240428,2
UK,20240505,2
UK,20240512,2
UK,20240519,2
UK,20240526,2
UM,20240226,2
UM,20240304,2
UM,20240311,2
UM,20240318,2
UM,20240325,2
UM,20240408,2
UM,20240415,2
UM,20240422,2
UM,20240429,2
UM,20240506,2
UM,20240513,2
UM,20240520,2
UM_1,20240226,2
UM_1,20240304,2
UM_1,20240311,2
UM_1,20240318,2
UM_1,20240325,2
UM_1,20240408,2
UM_1,20240415,2
UM_1,20240422,2
UM_1,20240429,2
UM_1,20240506,2
UM_1,20240513,2
UM_1,20240520,2
US,20240223,2
US,20240301,2
US,20240308,2
US,20240315,2
US,20240322,2
US,20240405,2
US,20240412,2
US,20240419,2
US,20240426,2
US,20240503,2
US,20240510,2
US,20240517,2
US,20240524,2
UT,20240226,2
UT,20240304,2
UT,20240318,2
UT,20240325,2
UT,20240401,2
UT,20240408,2
UT,20240415,2
UT,20240422,2
UT,20240429,2
UT,20240506,2
UT,20240513,2
UT,20240520,2
UT_1,20240226,2
UT_1,20240304,2
UT_1,20240318,2
UT_1,20240325,2
UT_1,20240401,2
UT_1,20240408,2
UT_1,20240415,2
UT_1,20240422,2
UT_1,20240429,2
UT_1,20240506,2
UT_1,20240513,2
UT_1,20240520,2
