service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T0,0,0,1,0,0,0,0,20240221,20240221
T0_1,0,0,0,1,0,0,0,20240222,20240222
T0+WD10,0,0,0,0,1,0,0,20240223,20240310
T0+WD10_1,0,0,0,0,1,0,0,20240312,20240526
T0+WD6F,1,1,1,1,0,0,0,20240223,20240310
T0+WD6F_1,1,1,1,1,0,0,0,20240312,20240526
T2,0,0,0,0,0,1,0,20240223,20240310
T2_1,0,0,0,0,0,1,0,20240312,20240526
T3,0,0,0,0,0,0,1,20240223,20240310
T3_1,0,0,0,0,0,0,1,20240312,20240526
UT,1,0,0,0,0,0,0,20240311,20240311
