route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
5-995-mjp-11,T0_9,1.T0.5-995-mjp-11.1.H,5-995-mjp-11.1.H,Melbourne,0
5-995-mjp-11,T0_9,2.T0.5-995-mjp-11.2.R,5-995-mjp-11.2.R,Warrnambool,1
5-995-mjp-12,T3_2,1.T3.5-995-mjp-12.1.H,5-995-mjp-12.1.H,Melbourne,0
5-995-mjp-12,T3_2,2.T3.5-995-mjp-12.2.R,5-995-mjp-12.2.R,Warrnambool,1
5-995-mjp-14,T0+WD02_1,1.T0.5-995-mjp-14.1.H,5-995-mjp-14.1.H,Melbourne,0
5-995-mjp-14,T0+WD02_1,2.T0.5-995-mjp-14.2.R,5-995-mjp-14.2.R,Warrnambool,1
5-995-mjp-15,T0+WD10_1,1.T0.5-995-mjp-15.1.H,5-995-mjp-15.1.H,Melbourne,0
5-995-mjp-15,T0+WD10_1,2.T0.5-995-mjp-15.2.R,5-995-mjp-15.2.R,Warrnambool,1
5-995-mjp-16,T0+WD12,1.T0.5-995-mjp-16.1.H,5-995-mjp-16.1.H,Melbourne,0
5-995-mjp-16,T3_3,1.T3.5-995-mjp-16.1.H,5-995-mjp-16.1.H,Melbourne,0
5-995-mjp-16,UK,1.UK.5-995-mjp-16.1.H,5-995-mjp-16.1.H,Melbourne,0
5-995-mjp-16,T0+WD12,2.T0.5-995-mjp-16.2.R,5-995-mjp-16.2.R,Warrnambool,1
5-995-mjp-16,T3_3,2.T3.5-995-mjp-16.2.R,5-995-mjp-16.2.R,Warrnambool,1
5-995-mjp-16,UK,2.UK.5-995-mjp-16.2.R,5-995-mjp-16.2.R,Warrnambool,1
5-995-mjp-2,T0_1,1.T0.5-995-mjp-2.1.H,5-995-mjp-2.1.H,Melbourne,0
5-995-mjp-2,T0_1,2.T0.5-995-mjp-2.2.R,5-995-mjp-2.2.R,Warrnambool,1
5-995-mjp-3,T0+WD02,1.T0.5-995-mjp-3.1.H,5-995-mjp-3.1.H,Melbourne,0
5-995-mjp-3,T3,1.T3.5-995-mjp-3.1.H,5-995-mjp-3.1.H,Melbourne,0
5-995-mjp-3,T0+WD02,2.T0.5-995-mjp-3.2.R,5-995-mjp-3.2.R,Warrnambool,1
5-995-mjp-3,T3,2.T3.5-995-mjp-3.2.R,5-995-mjp-3.2.R,Warrnambool,1
5-995-mjp-5,T0+WD10,1.T0.5-995-mjp-5.1.H,5-995-mjp-5.1.H,Melbourne,0
5-995-mjp-5,T0+WD10,2.T0.5-995-mjp-5.2.R,5-995-mjp-5.2.R,Warrnambool,1
5-995-mjp-6,T3_1,1.T3.5-995-mjp-6.1.H,5-995-mjp-6.1.H,Melbourne,0
5-995-mjp-6,T3_1,2.T3.5-995-mjp-6.2.R,5-995-mjp-6.2.R,Warrnambool,1
5-995-mjp-8,T0_6,1.T0.5-995-mjp-8.1.H,5-995-mjp-8.1.H,Melbourne,0
5-995-mjp-8,T0_6,2.T0.5-995-mjp-8.2.R,5-995-mjp-8.2.R,Warrnambool,1
5-als-mjp-1,T0+WD04,1.T0.5-als-mjp-1.1.H,5-als-mjp-1.1.H,Seymour,0
5-als-mjp-1,T0+WD08,2.T0.5-als-mjp-1.1.H,5-als-mjp-1.1.H,Seymour,0
5-als-mjp-1,T0,3.T0.5-als-mjp-1.2.R,5-als-mjp-1.2.R,Alexandra,1
5-als-mjp-10,T0_9,1.T0.5-als-mjp-10.1.H,5-als-mjp-10.1.H,Seymour,0
5-als-mjp-10,T0_9,2.T0.5-als-mjp-10.2.R,5-als-mjp-10.2.R,Alexandra,1
5-als-mjp-12,T0+WD04_1,1.T0.5-als-mjp-12.1.H,5-als-mjp-12.1.H,Seymour,0
5-als-mjp-12,T0+WD02_1,2.T0.5-als-mjp-12.1.H,5-als-mjp-12.1.H,Seymour,0
5-als-mjp-12,T0_10,3.T0.5-als-mjp-12.2.R,5-als-mjp-12.2.R,Alexandra,1
5-als-mjp-13,T0_11,1.T0.5-als-mjp-13.1.H,5-als-mjp-13.1.H,Seymour,0
5-als-mjp-13,T0_11,2.T0.5-als-mjp-13.2.R,5-als-mjp-13.2.R,Alexandra,1
5-als-mjp-14,T0+WD04_2,1.T0.5-als-mjp-14.1.H,5-als-mjp-14.1.H,Seymour,0
5-als-mjp-14,T0+WD7B,2.T0.5-als-mjp-14.1.H,5-als-mjp-14.1.H,Seymour,0
5-als-mjp-14,T0_12,3.T0.5-als-mjp-14.2.R,5-als-mjp-14.2.R,Alexandra,1
5-als-mjp-2,T0_1,1.T0.5-als-mjp-2.1.H,5-als-mjp-2.1.H,Seymour,0
5-als-mjp-2,T0_1,2.T0.5-als-mjp-2.2.R,5-als-mjp-2.2.R,Alexandra,1
5-als-mjp-3,T0_2,1.T0.5-als-mjp-3.1.H,5-als-mjp-3.1.H,Seymour,0
5-als-mjp-3,T0_2,2.T0.5-als-mjp-3.2.R,5-als-mjp-3.2.R,Alexandra,1
5-als-mjp-4,T0_3,1.T0.5-als-mjp-4.1.H,5-als-mjp-4.1.H,Seymour,0
5-als-mjp-4,T0_3,2.T0.5-als-mjp-4.2.R,5-als-mjp-4.2.R,Alexandra,1
5-als-mjp-5,T0_4,1.T0.5-als-mjp-5.1.H,5-als-mjp-5.1.H,Seymour,0
5-als-mjp-5,T0_4,2.T0.5-als-mjp-5.2.R,5-als-mjp-5.2.R,Alexandra,1
5-als-mjp-6,T0_5,1.T0.5-als-mjp-6.1.H,5-als-mjp-6.1.H,Seymour,0
5-als-mjp-6,T0_5,2.T0.5-als-mjp-6.2.R,5-als-mjp-6.2.R,Alexandra,1
5-als-mjp-7,T0_6,1.T0.5-als-mjp-7.1.H,5-als-mjp-7.1.H,Seymour,0
5-als-mjp-7,T0_6,2.T0.5-als-mjp-7.2.R,5-als-mjp-7.2.R,Alexandra,1
5-als-mjp-8,T0_7,1.T0.5-als-mjp-8.1.H,5-als-mjp-8.1.H,Seymour,0
5-als-mjp-8,T0_7,2.T0.5-als-mjp-8.2.R,5-als-mjp-8.2.R,Alexandra,1
5-als-mjp-9,T0_8,1.T0.5-als-mjp-9.1.H,5-als-mjp-9.1.H,Seymour,0
5-als-mjp-9,T0_8,2.T0.5-als-mjp-9.2.R,5-als-mjp-9.2.R,Alexandra,1
5-EC2-mjp-1,T0,1.T0.5-EC2-mjp-1.1.H,5-EC2-mjp-1.1.H,Echuca/Moama,0
5-EC2-mjp-1,T0,2.T0.5-EC2-mjp-1.1.H,5-EC2-mjp-1.1.H,Echuca/Moama,0
5-EC2-mjp-1,T0,3.T0.5-EC2-mjp-1.2.H,5-EC2-mjp-1.2.H,Echuca/Moama,0
5-EC2-mjp-1,T0,4.T0.5-EC2-mjp-1.3.R,5-EC2-mjp-1.3.R,Melbourne,1
5-EC2-mjp-1,T0,5.T0.5-EC2-mjp-1.3.R,5-EC2-mjp-1.3.R,Melbourne,1
5-EC2-mjp-1,T0,6.T0.5-EC2-mjp-1.4.R,5-EC2-mjp-1.4.R,Melbourne,1
5-EC2-mjp-10,T0_6,1.T0.5-EC2-mjp-10.1.H,5-EC2-mjp-10.1.H,Echuca/Moama,0
