service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MF10-14-200-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-207-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-270-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-271-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-273-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-279-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-280-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-281-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-282-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-284-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-285-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-293-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-295-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-302-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-303-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-304-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-305-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-309-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-318-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-364-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-370-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-380-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-903-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-905-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-906-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-907-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-14-908-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-15-503-aus,1,1,0,1,0,0,0,20240223,20240526
MF10-17-200-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-17-202-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-17-207-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-17-234-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-17-235-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-17-236-aus,0,0,0,0,1,0,0,20240223,20240526
MF10-17-237-aus,0,0,0,0,1,0,0,20240223,20240526
