service_id,date,exception_type
MF10-14-200-aus,20240308,2
MF10-14-200-aus,20240315,2
MF10-14-200-aus,20240322,2
MF10-14-200-aus,20240329,2
MF10-14-200-aus,20240405,2
MF10-14-200-aus,20240412,2
MF10-14-200-aus,20240419,2
MF10-14-200-aus,20240426,2
MF10-14-200-aus,20240503,2
MF10-14-200-aus,20240510,2
MF10-14-200-aus,20240517,2
MF10-14-200-aus,20240524,2
MF10-14-207-aus,20240308,2
MF10-14-207-aus,20240315,2
MF10-14-207-aus,20240322,2
MF10-14-207-aus,20240329,2
MF10-14-207-aus,20240405,2
MF10-14-207-aus,20240412,2
MF10-14-207-aus,20240419,2
MF10-14-207-aus,20240426,2
MF10-14-207-aus,20240503,2
MF10-14-207-aus,20240510,2
MF10-14-207-aus,20240517,2
MF10-14-207-aus,20240524,2
MF10-14-270-aus,20240308,2
MF10-14-270-aus,20240315,2
MF10-14-270-aus,20240322,2
MF10-14-270-aus,20240329,2
MF10-14-270-aus,20240405,2
MF10-14-270-aus,20240412,2
MF10-14-270-aus,20240419,2
MF10-14-270-aus,20240426,2
MF10-14-270-aus,20240503,2
MF10-14-270-aus,20240510,2
MF10-14-270-aus,20240517,2
MF10-14-270-aus,20240524,2
MF10-14-271-aus,20240308,2
MF10-14-271-aus,20240315,2
MF10-14-271-aus,20240322,2
MF10-14-271-aus,20240329,2
MF10-14-271-aus,20240405,2
MF10-14-271-aus,20240412,2
MF10-14-271-aus,20240419,2
MF10-14-271-aus,20240426,2
MF10-14-271-aus,20240503,2
MF10-14-271-aus,20240510,2
MF10-14-271-aus,20240517,2
MF10-14-271-aus,20240524,2
MF10-14-273-aus,20240308,2
MF10-14-273-aus,20240315,2
MF10-14-273-aus,20240322,2
MF10-14-273-aus,20240329,2
MF10-14-273-aus,20240405,2
MF10-14-273-aus,20240412,2
MF10-14-273-aus,20240419,2
MF10-14-273-aus,20240426,2
MF10-14-273-aus,20240503,2
MF10-14-273-aus,20240510,2
MF10-14-273-aus,20240517,2
MF10-14-273-aus,20240524,2
MF10-14-279-aus,20240308,2
MF10-14-279-aus,20240315,2
MF10-14-279-aus,20240322,2
MF10-14-279-aus,20240329,2
MF10-14-279-aus,20240405,2
MF10-14-279-aus,20240412,2
MF10-14-279-aus,20240419,2
MF10-14-279-aus,20240426,2
MF10-14-279-aus,20240503,2
MF10-14-279-aus,20240510,2
MF10-14-279-aus,20240517,2
MF10-14-279-aus,20240524,2
MF10-14-280-aus,20240308,2
MF10-14-280-aus,20240315,2
MF10-14-280-aus,20240322,2
MF10-14-280-aus,20240329,2
MF10-14-280-aus,20240405,2
MF10-14-280-aus,20240412,2
MF10-14-280-aus,20240419,2
MF10-14-280-aus,20240426,2
MF10-14-280-aus,20240503,2
MF10-14-280-aus,20240510,2
MF10-14-280-aus,20240517,2
MF10-14-280-aus,20240524,2
MF10-14-281-aus,20240308,2
MF10-14-281-aus,20240315,2
MF10-14-281-aus,20240322,2
MF10-14-281-aus,20240329,2
MF10-14-281-aus,20240405,2
MF10-14-281-aus,20240412,2
MF10-14-281-aus,20240419,2
MF10-14-281-aus,20240426,2
MF10-14-281-aus,20240503,2
MF10-14-281-aus,20240510,2
MF10-14-281-aus,20240517,2
MF10-14-281-aus,20240524,2
MF10-14-282-aus,20240308,2
MF10-14-282-aus,20240315,2
MF10-14-282-aus,20240322,2
MF10-14-282-aus,20240329,2
MF10-14-282-aus,20240405,2
MF10-14-282-aus,20240412,2
MF10-14-282-aus,20240419,2
MF10-14-282-aus,20240426,2
MF10-14-282-aus,20240503,2
MF10-14-282-aus,20240510,2
MF10-14-282-aus,20240517,2
MF10-14-282-aus,20240524,2
MF10-14-284-aus,20240308,2
MF10-14-284-aus,20240315,2
MF10-14-284-aus,20240322,2
MF10-14-284-aus,20240329,2
MF10-14-284-aus,20240405,2
MF10-14-284-aus,20240412,2
MF10-14-284-aus,20240419,2
MF10-14-284-aus,20240426,2
MF10-14-284-aus,20240503,2
MF10-14-284-aus,20240510,2
MF10-14-284-aus,20240517,2
MF10-14-284-aus,20240524,2
MF10-14-285-aus,20240308,2
MF10-14-285-aus,20240315,2
MF10-14-285-aus,20240322,2
MF10-14-285-aus,20240329,2
MF10-14-285-aus,20240405,2
MF10-14-285-aus,20240412,2
MF10-14-285-aus,20240419,2
MF10-14-285-aus,20240426,2
MF10-14-285-aus,20240503,2
MF10-14-285-aus,20240510,2
MF10-14-285-aus,20240517,2
MF10-14-285-aus,20240524,2
