SA2_CODE_2021,SUA_CODE_2021
121011401,1031
121011682,1031
121011683,1031
121011684,1031
121011685,1031
121011686,1031
121011687,1031
121021403,1031
121021404,1031
121021406,1031
121021577,1031
121021578,1031
121021579,1031
121031407,1031
121031408,1031
121031409,1031
121031410,1031
121031411,1031
121031412,1031
121041413,1031
121041414,1031
121041416,1031
121041417,1031
121041688,1031
121041689,1031
122011418,1031
122011419,1031
122021420,1031
122021421,1031
122021422,1031
122021690,1031
122021691,1031
122031424,1031
122031425,1031
122031427,1031
122031429,1031
122031430,1031
122031432,1031
122031692,1031
122031693,1031
122031694,1031
122031695,1031
122031696,1031
122031697,1031
123011433,1031
123011698,1031
123011699,1031
123011700,1031
123011701,1031
123011702,1031
123021436,1031
123021437,1031
123021438,1031
123021439,1000
123021441,1031
123021443,1031
123021444,1031
123021703,1031
123021704,1031
123021705,1031
123021706,1031
123031445,1000
123031446,1000
123031447,1000
123031448,1000
124011449,1000
124011450,1031
124011451,1000
124011452,1031
124011453,1031
124011454,1031
124011455,1031
124021456,1000
124031457,1031
124031459,1031
124031460,1031
124031461,1031
124031462,1031
124031463,1031
124031464,1031
124031465,1031
124031707,1031
124031708,1031
124041466,1031
124041467,1031
124041468,1031
124051469,1031
124051470,1031
124051580,1031
124051581,1031
125011475,1031
125011582,1031
125011583,1031
125011584,1031
125011585,1031
125011586,1031
125011587,1031
125011709,1031
125011710,1031
125021477,1031
125021478,1031
125021711,1031
125021712,1031
125031479,1031
125031480,1031
125031481,1031
125031483,1031
125031484,1031
125031486,1031
125031487,1031
125031713,1031
125031714,1031
125031715,1031
125031716,1031
125041489,1031
125041490,1031
125041491,1031
125041493,1031
125041494,1031
125041588,1031
125041589,1031
125041717,1031
125041718,1031
125041719,1031
126011496,1031
126011720,1031
126011721,1031
126021498,1031
126021499,1031
126021500,1031
126021501,1031
126021503,1031
126021590,1031
126021722,1031
126021723,1031
126021724,1031
126021725,1031
127011504,1031
127011505,1031
127011592,1031
127011593,1031
127011594,1031
127011595,1031
127011596,1031
127011597,1031
127011726,1031
127011727,1031
127011728,1031
127011729,1031
127021509,1031
127021510,1031
127021511,1031
127021512,1031
127021513,1031
127021514,1031
127021515,1031
127021516,1031
127021517,1031
127021518,1031
127021519,1031
127021520,1031
127021521,1031
127031522,1031
127031523,1031
127031524,1031
127031599,1031
127031601,1031
127031730,1031
127031731,1031
127031732,1031
127031733,1031
128011529,1031
128011530,1031
128011531,1031
128011602,1031
128011603,1031
128011604,1031
128011605,1031
128011606,1031
128021533,1031
128021534,1031
128021535,1031
128021536,1031
128021537,1000
128021538,1031
128021607,1031
128021608,1031
128021609,1031
197979799,1000
199999499,1000
201011001,2003
201011002,2003
201011005,2003
201011006,2003
201011007,2000
201011008,2003
201011481,2003
201011482,2003
201011483,2003
201011484,2003
201021009,2000
201021010,2000
201021011,2000
201021012,2000
201031013,2000
201031014,2000
201031015,2000
201031016,2000
201031017,2000
202011018,2004
202011019,2004
202011020,2004
202011021,2004
202011022,2004
202011023,2004
202011024,2004
202011025,2004
202021026,2000
202021027,2005
202021028,2000
202021029,2000
202021030,2000
202021031,2000
202031032,2000
202031033,2000
203011034,2000
203011035,2000
203011036,2000
203021037,2008
203021039,2008
203021040,2008
203021042,2008
203021043,2008
203021044,2008
203021045,2008
203021046,2008
203021047,2008
203021485,2008
203021486,2008
203021487,2008
203021488,2008
203031048,2008
203031049,2000
203031051,2000
203031052,2008
203031053,2008
203031489,2008
203031490,2008
204011054,2000
204011055,2000
204011056,2000
204011057,2000
204011058,2000
204011059,2000
204011060,2000
204011061,2000
204011062,2000
204021063,2000
204021064,2000
204021065,2000
204021066,2019
204021067,2000
204031068,2000
204031069,2000
204031070,2000
204031071,2000
204031072,2000
204031073,1001
204031075,2000
204031491,1001
204031492,1001
205011076,2020
205011077,2000
205011078,2000
205011079,2020
205021080,2000
205021081,2002
205021082,2000
205021083,2000
205021084,2000
205021085,2000
205021086,2000
205031087,2000
205031088,2000
205031089,2000
205031090,2000
205031091,2000
205031092,2000
205031093,2000
205041094,2000
205041095,2013
205041096,2018
205041098,2013
205041493,2018
205041494,2018
205051099,2000
205051100,2000
205051101,2000
205051102,2000
205051103,2015
205051104,2000
206011106,2011
206011107,2011
206011109,2011
206011495,2011
206011496,2011
206011497,2011
206011498,2011
206021110,2011
206021112,2011
206021499,2011
206021500,2011
206031113,2011
206031115,2011
206031116,2011
206031501,2011
206031502,2011
206041117,2011
206041118,2011
206041119,2011
206041120,2011
206041121,2011
206041124,2011
206041125,2011
206041127,2011
206041503,2011
206041504,2011
206041505,2011
206041506,2011
206041507,2011
206041508,2011
206041509,2011
206041510,2011
206051128,2011
206051129,2011
206051130,2011
206051134,2011
206051511,2011
206051512,2011
206051513,2011
206051514,2011
206061135,2011
206061136,2011
206061138,2011
206061515,2011
206061516,2011
206071139,2011
206071140,2011
206071141,2011
206071142,2011
206071143,2011
206071145,2011
206071517,2011
206071518,2011
207011146,2011
207011147,2011
207011148,2011
207011149,2011
207011150,2011
207011152,2011
207011154,2011
207011155,2011
207011519,2011
207011520,2011
207011521,2011
207011522,2011
207021156,2011
207021157,2011
207021159,2011
207021160,2011
207021424,2011
207021425,2011
207031161,2011
207031162,2011
207031163,2011
207031164,2011
207031165,2011
207031166,2011
207031167,2011
208011168,2011
208011169,2011
208011170,2011
208011171,2011
208011172,2011
208011173,2011
208021174,2011
208021176,2011
208021177,2011
208021178,2011
208021179,2011
208021180,2011
208021181,2011
208021182,2011
208021426,2011
208021427,2011
208031183,2011
208031184,2011
208031185,2011
208031186,2011
208031187,2011
208031188,2011
208031189,2011
208031190,2011
208031191,2011
208031192,2011
208031193,2011
208041194,2011
208041195,2011
209011196,2011
209011197,2011
209011198,2011
209011199,2011
209011200,2011
209011201,2011
209011202,2011
209011203,2011
209011204,2011
209021205,2011
209021428,2011
209021429,2011
209021523,2011
209021524,2011
209021525,2011
209021526,2011
209031209,2011
209031210,2011
209031211,2000
209031212,2000
209031213,2011
209031214,2011
209031215,2011
209041216,2011
209041217,2011
209041220,2011
209041221,2011
209041223,2011
209041224,2011
209041225,2011
209041431,2011
209041432,2011
209041433,2011
209041435,2011
209041436,2011
209041437,2011
209041527,2011
209041528,2011
209041529,2011
209041530,2011
209041531,2011
209041532,2011
210011226,2011
210011227,2011
210011228,2011
210011230,2011
210011231,2011
210011533,2011
210011534,2011
210021232,2009
210021233,2009
210021234,2009
210021235,2000
210031236,2011
210031237,2011
210031439,2011
210031440,2011
210031535,2011
210031536,2011
210031537,2011
210031538,2011
210041240,2011
210041539,2011
210041540,2011
210041541,2011
210051242,2011
210051243,2011
210051245,2011
210051246,2011
210051247,2011
210051248,2011
210051250,2011
210051441,2011
210051442,2011
210051443,2011
210051445,2011
210051542,2011
210051543,2011
210051544,2011
210051545,2011
211011251,2011
211011254,2011
211011255,2011
211011256,2011
211011257,2011
211011258,2011
211011259,2011
211011260,2011
211011446,2011
211011447,2011
211011448,2011
211011449,2011
211021261,2011
211021262,2011
211031263,2011
211031265,2011
211031266,2011
211031267,2011
211031268,2011
211031450,2011
211031451,2011
211031452,2011
211041269,2011
211041270,2011
211041271,2011
211041272,2011
211041273,2011
211051274,2011
211051275,2011
211051276,2000
211051277,2011
211051278,2011
211051279,2011
211051280,2011
211051281,2011
211051282,2011
211051283,2011
211051284,2011
211051285,2011
211051286,2011
212011289,2011
212011546,2011
212011547,2000
212011548,2011
212011549,2011
212011550,2011
212011551,2011
212011552,2011
212021293,2011
212021295,2011
212021297,2011
212021299,2011
212021453,2011
212021454,2011
212021455,2011
212021456,2011
212021553,2011
212021554,2011
212031300,2011
212031303,2011
212031304,2011
212031306,2011
212031308,2011
212031457,2011
212031458,2011
212031555,2011
212031556,2011
212031557,2011
212031558,2011
212031559,2011
212031560,2011
212031561,2011
212031562,2011
212041309,2011
212041310,2011
212041312,2011
212041313,2011
212041316,2011
212041317,2011
212041318,2011
212041459,2011
212041460,2011
212041563,2011
212041564,2011
212041565,2011
212041566,2011
212051319,2011
212051321,2011
212051322,2011
212051323,2011
212051324,2011
212051325,2011
212051326,2011
212051327,2011
212051567,2011
212051568,2011
213011328,2011
213011329,2011
213011331,2011
213011332,2011
213011333,2011
213011334,2011
213011335,2011
213011336,2011
213011337,2011
213011338,2011
213011339,2011
213011340,2011
213011569,2011
213011570,2011
213021341,2011
213021342,2011
213021343,2011
213021344,2011
213021345,2011
213021346,2011
213031347,2011
213031348,2011
213031349,2011
213031350,2011
213031351,2011
213031352,2011
213041353,2001
213041358,2011
213041359,2011
213041360,2011
213041461,2011
213041462,2011
213041463,2011
213041571,2011
213041572,2011
213041573,2000
213041574,2011
213041575,2011
213041576,2011
213041577,2011
213041578,2011
213051361,2011
213051362,2011
213051363,2011
213051368,2011
213051464,2011
213051466,2011
213051467,2011
213051468,2011
213051579,2011
213051580,2011
213051581,2011
213051582,2011
213051583,2011
213051584,2011
213051585,2011
213051586,2011
213051587,2011
213051588,2011
213051589,2011
213051590,2011
214011370,2011
214011371,2011
214011372,2011
214011373,2011
214011374,2011
214011375,2011
214011376,2011
