UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021
122127,Taralga (L),122
122128,Tarcutta (L),122
122129,Tarraganda (L),122
122130,Telegraph Point (L),122
122131,Thredbo Village (L),122
122132,Tingha (L),122
122133,Tomago (L),122
122134,Tomerong (L),122
122135,Tooleybuc (L),122
122136,Toomelah (L),122
122137,Tottenham (L),122
122138,Trundle (L),122
122139,Tucabia (L),122
122140,Tullamore (L),122
122141,Tumbulgum (L),122
122142,Tyalgum (L),122
122143,Uki (L),122
122144,Ulmarra (L),122
122145,Ungarie (L),122
122146,Urana (L),122
122147,Urbenville (L),122
122148,Wallabadah (L),122
122149,Whitton (L),122
122150,Wolumla (L),122
122151,Woodenbong (L),122
122152,Woodstock (L),122
122153,Woollamia (L),122
122154,Wooloweyah (L),122
122155,Wyalong (L),122
122156,Yanco (L),122
122157,Yarramundi (L),122
122158,Yeoval (L),122
131001,Remainder of State/Territory (NSW),131
179997,Migratory - Offshore - Shipping (NSW),179
199994,No usual address (NSW),199
201001,Melbourne,201
203001,Ballarat,203
203002,Bendigo,203
203003,Geelong,203
211001,Albury - Wodonga (Wodonga Part),211
211002,Melton,211
212001,Bacchus Marsh,212
212002,Echuca - Moama (Echuca Part),212
212003,Mildura - Buronga (Mildura Part),212
212004,Ocean Grove - Barwon Heads,212
212005,Shepparton - Mooroopna,212
212006,Sunbury,212
212007,Torquay - Jan Juc,212
212008,Traralgon,212
212009,Warrnambool,212
213001,Bairnsdale,213
213002,Castlemaine,213
213003,Colac,213
213004,Drouin,213
213005,Drysdale - Clifton Springs,213
213006,Gisborne,213
213007,Horsham,213
213008,Lara,213
213009,Leopold,213
213010,Moe - Newborough,213
213011,Morwell,213
213012,Portland (Vic.),213
213013,Sale,213
213014,Swan Hill,213
213015,Wallan,213
213016,Wangaratta,213
213017,Warragul,213
213018,Yarrawonga - Mulwala (Yarrawonga Part),213
214001,Ararat,214
214002,Bannockburn,214
214003,Benalla,214
214004,Cobram,214
214005,Corowa - Wahgunyah (Wahgunyah Part),214
214006,Cowes,214
214007,Diggers Rest,214
214008,Hamilton,214
214009,Healesville,214
214010,Inverloch,214
214011,Kilmore,214
214012,Kyabram,214
214013,Kyneton,214
214014,Lakes Entrance,214
214015,Leongatha,214
214016,Maryborough (Vic.),214
214017,Point Lonsdale - Queenscliff,214
214018,Portarlington - St Leonards,214
214019,Seymour,214
214020,Stawell,214
214021,Whittlesea,214
214022,Wonthaggi,214
215001,Aireys Inlet - Fairhaven,215
215002,Alexandra,215
215003,Anglesea,215
215004,Apollo Bay,215
215005,Avoca,215
215006,Ballan,215
215007,Balnarring - Balnarring Beach,215
215008,Baranduda,215
215009,Barham - Koondrook (Koondrook Part),215
215010,Beaconsfield Upper,215
215011,Beaufort,215
215012,Beechworth,215
215013,Beveridge,215
215014,Blind Bight,215
215015,Bright,215
215016,Broadford,215
215017,Bunyip,215
215018,Camperdown,215
215019,Cape Woolamai,215
215020,Casterton,215
215021,Chiltern,215
215022,Churchill,215
215023,Cobden,215
215024,Cohuna,215
215025,Corinella,215
215026,Coronet Bay,215
215027,Corryong,215
215028,Creswick,215
215029,Daylesford - Hepburn Springs,215
215030,Dimboola,215
215031,Donald,215
215032,Euroa,215
215033,Eynesbury,215
215034,Foster,215
215035,Garfield,215
215036,Gembrook,215
215037,Grantville - Pioneer Bay,215
215038,Heathcote,215
215039,Heyfield,215
215040,Heywood,215
215041,Kerang,215
215042,Kinglake,215
215043,Koo Wee Rup,215
215044,Koroit,215
215045,Korumburra,215
215046,Lancefield,215
215047,Lang Lang,215
215048,Longwarry,215
215049,Lorne,215
215050,Macedon,215
215051,Maffra,215
215052,Maldon,215
215053,Mansfield,215
215054,Merbein,215
215055,Metung,215
215056,Millgrove,215
215057,Mirboo North,215
215058,Mortlake,215
215059,Mount Beauty - Tawonga,215
215060,Myrtleford,215
215061,Nagambie,215
215062,Nathalia,215
215063,Neerim South,215
215064,Nhill,215
215065,Numurkah,215
215066,Orbost,215
215067,Ouyen,215
215068,Paynesville,215
215069,Port Fairy,215
215070,Red Cliffs,215
215071,Riddells Creek,215
215072,Robinvale,215
215073,Rochester,215
215074,Romsey,215
215075,Rosedale,215
215076,Rutherglen,215
215077,San Remo,215
215078,Seville,215
215079,St Arnaud,215
215080,Stratford,215
215081,Tatura,215
215082,Teesdale,215
215083,Terang,215
215084,Tongala,215
215085,Tooradin,215
215086,Trafalgar,215
215087,Wandong - Heathcote Junction,215
215088,Warburton (Vic.),215
215089,Warracknabeal,215
215090,Winchelsea,215
215091,Wonga Park,215
215092,Woodend,215
215093,Woori Yallock - Launching Place,215
215094,Wurruk,215
215095,Yallourn North,215
215096,Yarra Glen,215
215097,Yarra Junction - Wesburn,215
215098,Yarragon,215
215099,Yarram,215
215100,Yea,215
221001,Allansford (L),221
221002,Avenel (L),221
221003,Barnawartha (L),221
221004,Batesford (L),221
221005,Birchip (L),221
221006,Birregurra (L),221
221007,Boolarra (L),221
221008,Boort (L),221
221009,Briagolong (L),221
221010,Bruthen (L),221
221011,Bushfield - Woodford (L),221
221012,Cabarita (L),221
221013,Cannons Creek (L),221
221014,Cape Paterson (L),221
221015,Cape Schanck (L),221
221016,Cardigan Village (L),221
221017,Carisbrook (L),221
221018,Charlton (L),221
221019,Clunes (L) (Vic.),221
221020,Coleraine (L),221
221021,Dalyston (L),221
221022,Dunkeld (L),221
221023,Dunolly (L),221
221024,Eagle Point (L),221
221025,Edenhope (L),221
221026,Eildon (L),221
221027,Elmore (L),221
221028,Flinders (L),221
221029,Glengarry (L),221
221030,Golden Beach - Paradise Beach (L),221
221031,Gordon (L),221
221032,Harcourt (L),221
221033,Hopetoun (L) (Vic.),221
221034,Hopetoun Park (L),221
221035,Inglewood (L) (Vic.),221
221036,Inverleigh (L),221
221037,Kaniva (L),221
221038,Kinglake West (L),221
221039,Lake Boga (L),221
221040,Lake Tyers Beach (L),221
221041,Lethbridge (L),221
221042,Lindenow (L),221
221043,Loch Sport (L),221
221044,Mallacoota (L),221
221045,Malmsbury (L),221
221046,Marong (L),221
221047,Maryknoll (L),221
221048,Meeniyan (L),221
221049,Moriac (L),221
221050,Murchison (L),221
221051,Murtoa (L),221
221052,Nar Nar Goon (L),221
221053,Newlands Arm (L),221
221054,Newstead (L),221
221055,Nichols Point (L),221
221056,Nyah West (L),221
221057,Nyora (L),221
221058,Oxley (L),221
221059,Porepunkah (L),221
221060,Raymond Island (L),221
221061,Rhyll (L),221
221062,Rushworth (L),221
221063,Sea Lake (L),221
221064,Seville East (L),221
221065,Shoreham (L),221
221066,Smythesdale (L),221
221067,Strathmerton (L),221
221068,Sunset Strip (L),221
221069,Surf Beach - Sunderland Bay (L),221
221070,Tallangatta (L),221
221071,Timboon (L),221
221072,Toongabbie (L),221
221073,Traralgon South (L),221
221074,Trentham (L),221
221075,Ventnor (L),221
221076,Venus Bay (L),221
221077,Violet Town (L),221
221078,Warneet (L),221
221079,Wedderburn (L),221
221080,Werribee South (L),221
221081,Wycheproof (L),221
221082,Wyndham Harbour (L),221
221083,Yackandandah (L),221
221084,Yinnar (L),221
222001,Arcadia Downs (L),222
222002,Arthurs Seat (L),222
222003,Axedale (L),222
222004,Baw Baw Village (L),222
222005,Beeac (L),222
222006,Bellbridge (L),222
222007,Bethanga (L),222
222008,Blackwood (L),222
222009,Bridgewater (L),222
222010,Bulla (L),222
222011,Buln Buln (L),222
222012,Bundalong (L),222
222013,Buxton (L) (Vic.),222
222014,Dales Creek (L),222
222015,Darnum (L),222
222016,Dartmoor (L),222
222017,Derrinallum (L),222
222018,Dinner Plain (L),222
222019,Don Valley (L),222
222020,Dookie (L),222
222021,East Warburton (L),222
222022,Eldorado (L),222
222023,Enfield (L),222
222024,Falls Creek (L) (Vic.),222
222025,Fish Creek (L),222
222026,Glenrowan - North (L),222
222027,Glenrowan (L),222
222028,Goornong (L),222
222029,Goroke (L),222
222030,Guildford (L),222
222031,Gunbower (L),222
222032,Halls Gap (L),222
222033,Harrietville (L),222
222034,Hazeldene (L),222
222035,Jeparit (L),222
222036,Katamatite (L),222
222037,Katandra West (L),222
222038,Kialla West (L),222
222039,Kiewa (L),222
222040,Kilcunda (L),222
222041,Learmonth (L),222
222042,Leitchville (L),222
222043,Linton (L),222
222044,Lismore (L) (Vic.),222
222045,Little River (L),222
222046,Lockington (L),222
222047,Macarthur (L),222
222048,Manangatang (L),222
222049,Marengo (L),222
222050,Marlo (L),222
222051,Marysville (L),222
222052,Meredith (L),222
222053,Merrigum (L),222
222054,Milawa (L),222
222055,Minyip (L),222
222056,Mount Buller (L),222
222057,Mount Egerton (L),222
222058,Mount Hotham (L),222
222059,Moyhu (L),222
222060,Murrayville (L),222
222061,Myrniong (L),222
222062,Natimuk (L),222
222063,Newhaven (L),222
222064,Nilma (L),222
222065,Noorat (L),222
222066,Nyah (L),222
222067,Omeo (L),222
222068,Panton Hill (L),222
222069,Penshurst (L),222
222070,Peterborough (L),222
222071,Poowong (L),222
222072,Port Albert (L),222
222073,Port Campbell (L),222
222074,Powelltown (L),222
222075,Pyalong (L),222
222076,Pyramid Hill (L),222
222077,Rainbow (L),222
222078,Rawson (L),222
222079,Red Hill South (L),222
222080,Rupanyup (L),222
222081,Sandy Point (L),222
222082,Sawmill Settlement (L),222
222083,Shepparton East (L),222
222084,Skipton (L),222
222085,Smiths Beach (L),222
222086,St Andrews (L),222
222087,Stanhope (L),222
222088,Talbot (L),222
222089,Tallarook (L),222
222090,Tallygaroopna (L),222
222091,Tangambalanga (L),222
222092,Toolamba (L),222
222093,Toora (L),222
222094,Tungamah (L),222
222095,Tyers (L),222
222096,Tylden (L),222
222097,Tynong (L),222
222098,Wandiligong (L),222
222099,Waterford Park (L),222
222100,Willaura (L),222
222101,Willow Grove (L),222
222102,Wimbledon Heights (L),222
222103,Wonga Park - South (L),222
222104,Woorinen South (L),222
222105,Wunghnu (L),222
231001,Remainder of State/Territory (Vic.),231
279997,Migratory - Offshore - Shipping (Vic.),279
299994,No usual address (Vic.),299
301001,Brisbane,301
302001,Gold Coast - Tweed Heads (Gold Coast Part),302
302002,Sunshine Coast,302
303001,Cairns,303
303002,Toowoomba,303
303003,Townsville,303
311001,Bundaberg,311
311002,Hervey Bay,311
311003,Mackay,311
311004,Rockhampton,311
312001,Bongaree - Woorim,312
312002,Gladstone (Qld),312
312003,Maryborough (Qld),312
312004,Nambour,312
313001,Airlie Beach - Cannonvale,313
313002,Bargara - Innes Park,313
313003,Dalby,313
313004,Emerald,313
313005,Gracemere,313
313006,Gympie,313
313007,Highfields,313
313008,Kingaroy,313
313009,Mount Isa,313
313010,Warwick,313
313011,Yarrabilba,313
313012,Yeppoon,313
314001,Atherton,314
314002,Ayr,314
314003,Beaudesert,314
314004,Beerwah,314
314005,Biloela,314
314006,Bowen,314
314007,Charters Towers,314
314008,Chinchilla,314
314009,Flagstone,314
314010,Gatton,314
314011,Goondiwindi,314
314012,Gordonvale,314
314013,Innisfail,314
314014,Jimboomba,314
314015,Kensington Grove - Regency Downs,314
314016,Mareeba,314
314017,Moranbah,314
314018,Mount Cotton,314
314019,Palmwoods,314
314020,Roma,314
314021,Sandstone Point - Ningi,314
314022,Tamborine Mountain,314
314023,Tannum Sands - Boyne Island,314
315001,Agnes Water,315
315002,Alice River,315
315003,Allingham,315
315004,Aurukun,315
315005,Babinda,315
315006,Bamaga,315
315007,Beachmere,315
315008,Blackwater,315
315009,Boonah,315
315010,Burnett Heads,315
315011,Burrum Heads,315
315012,Calliope,315
315013,Cambooya,315
315014,Cardwell,315
315015,Cedar Grove,315
315016,Cedar Vale,315
315017,Charleville,315
315018,Cherbourg,315
315019,Childers,315
315020,Clermont,315
315021,Clifton,315
315022,Cloncurry,315
315023,Collinsville,315
315024,Cooktown,315
315025,Cooloola Village,315
315026,Cooroy,315
315027,Crows Nest,315
315028,D'Aguilar,315
315029,Dayboro,315
315030,Doomadgee,315
315031,Dysart,315
315032,Emu Park,315
315033,Esk,315
315034,Eumundi,315
315035,Fernvale,315
315036,Gayndah,315
315037,Glass House Mountains,315
315038,Gowrie Junction,315
315039,Gununa,315
315040,Hamilton Island,315
315041,Hay Point,315
315042,Home Hill,315
315043,Howard,315
315044,Ingham,315
315045,Jacobs Well,315
315046,Kilcoy,315
315047,Kingsthorpe,315
315048,Kooralbyn,315
315049,Kuranda,315
315050,Laidley,315
315051,Landsborough,315
315052,Logan Village,315
315053,Longreach,315
315054,Lowood,315
315055,Macleay Island,315
315056,Malanda,315
315057,Maleny,315
315058,Marian,315
315059,Meridan Plains,315
315060,Meringandan West,315
315061,Middlemount,315
315062,Miles,315
315063,Millmerran,315
315064,Mirani,315
315065,Monto,315
315066,Mooloolah,315
315067,Moore Park,315
315068,Mossman,315
315069,Mount Morgan,315
315070,Moura,315
315071,Mulambin,315
315072,Mundubbera,315
315073,Murgon,315
315074,Nanango,315
315075,Nelly Bay,315
315076,Oakey,315
315077,Palm Island,315
315078,Pittsworth,315
315079,Pomona,315
315080,Port Douglas - Craiglie,315
315081,Proserpine,315
315082,Rainbow Beach,315
315083,Rangewood,315
315084,River Heads,315
315085,Rosewood,315
315086,Russell Island,315
315087,Samford Valley - Highvale,315
315088,Sarina,315
315089,St George,315
315090,Stanthorpe,315
315091,Thursday Island,315
315092,Tin Can Bay,315
315093,Toogoolawah,315
315094,Toogoom,315
315095,Tully,315
315096,Walkerston,315
315097,Walloon,315
315098,Weipa,315
315099,Westbrook,315
315100,Willowbank,315
315101,Withcott,315
315102,Wondai,315
315103,Wongaling Beach,315
315104,Woodford,315
315105,Woodgate,315
315106,Wyreema,315
315107,Yandina,315
315108,Yarrabah,315
315109,Yungaburra,315
321001,Aldershot (L),321
321002,Allora (L),321
321003,Apple Tree Creek (L),321
321004,Aratula (L),321
321005,Armstrong Beach (L),321
321006,Badu Island (L),321
321007,Bakers Creek (L),321
321008,Balgal Beach (L),321
321009,Barcaldine (L),321
321010,Belvedere (L),321
321011,Benaraby (L),321
321012,Biggenden (L),321
321013,Black Mountain (L),321
321014,Black River (L),321
321015,Blackall (L),321
321016,Blackbutt (L),321
321017,Blue Mountain Heights (L),321
321018,Bluewater (L),321
321019,Bluewater Park (L),321
321020,Booral (L),321
321021,Bouldercombe (L),321
321022,Boyland (L),321
321023,Brandon (L),321
321024,Brightview (L),321
321025,Burrum Heads - East (L),321
321026,Campwin Beach (L),321
321027,Canungra (L),321
321028,Capella (L),321
321029,Coochiemudlo Island (L),321
321030,Coominya (L),321
321031,Cooran (L),321
321032,Cooroibah (L),321
321033,Cooya Beach (L),321
321034,Cunnamulla (L),321
321035,Curra (L),321
321036,Delaneys Creek (L),321
321037,Dunwich (L),321
321038,Elliott Heads (L),321
321039,Flaxton (L),321
321040,Forest Acres (L),321
