SA3_CODE_2021,SA3_NAME_2021,CHANGE_FLAG_2021,AREA_ALBERS_SQKM,SA4_CODE_2021
20904,Whittlesea - Wallan,0,997.4395,209
21001,Keilor,0,42.4249,210
21002,Macedon Ranges,0,992.1072,210
21003,Moreland - North,0,30.3779,210
21004,Sunbury,0,260.6846,210
21005,Tullamarine - Broadmeadows,0,294.0938,210
21101,Knox,0,118.3018,211
21102,Manningham - East,0,66.5619,211
21103,Maroondah,0,61.1872,211
21104,Whitehorse - East,0,26.5696,211
21105,Yarra Ranges,0,1605.9372,211
21201,Cardinia,0,1282.3263,212
21202,Casey - North,0,116.5028,212
21203,Casey - South,0,292.9259,212
21204,Dandenong,0,151.051,212
21205,Monash,0,79.4734,212
21301,Brimbank,0,106.8497,213
21302,Hobsons Bay,0,62.2158,213
21303,Maribyrnong,0,31.2258,213
21304,Melton - Bacchus Marsh,0,671.9435,213
21305,Wyndham,0,544.119,213
21401,Frankston,0,129.5981,214
21402,Mornington Peninsula,0,724.1681,214
21501,Grampians,0,38139.6815,215
21502,Mildura,0,22081.9206,215
21503,Murray River - Swan Hill,0,17851.3822,215
21601,Campaspe,0,4554.7835,216
21602,Moira,0,4045.9201,216
21603,Shepparton,0,2333.1625,216
21701,Glenelg - Southern Grampians,0,12946.3914,217
21703,Colac - Corangamite,0,7936.5546,217
21704,Warrnambool,0,5496.1771,217
29797,Migratory - Offshore - Shipping (Vic.),0,,297
29999,No usual address (Vic.),0,,299
30101,Capalaba,0,89.2962,301
30102,Cleveland - Stradbroke,0,480.9782,301
30103,Wynnum - Manly,0,82.8585,301
30201,Bald Hills - Everton Park,0,35.9308,302
30202,Chermside,0,32.2387,302
30203,Nundah,0,87.0317,302
30204,Sandgate,0,31.7471,302
30301,Carindale,0,26.5106,303
30302,Holland Park - Yeronga,0,27.565,303
30303,Mt Gravatt,0,79.3867,303
30304,Nathan,0,24.4776,303
30305,Rocklea - Acacia Ridge,0,85.2446,303
30306,Sunnybank,0,22.16,303
30401,Centenary,0,16.9755,304
30402,Kenmore - Brookfield - Moggill,0,134.6112,304
30403,Sherwood - Indooroopilly,0,21.2963,304
30404,The Gap - Enoggera,0,96.7678,304
30501,Brisbane Inner,0,13.5584,305
30502,Brisbane Inner - East,0,15.5988,305
30503,Brisbane Inner - North,0,30.9466,305
30504,Brisbane Inner - West,0,21.6355,305
30601,Cairns - North,0,160.315,306
30602,Cairns - South,0,633.4764,306
30603,Innisfail - Cassowary Coast,0,5995.1825,306
30604,Port Douglas - Daintree,0,2421.0913,306
30605,Tablelands (East) - Kuranda,0,12127.9126,306
30701,Darling Downs (West) - Maranoa,0,141260.7719,307
30702,Darling Downs - East,0,16653.3006,307
30703,Granite Belt,0,8432.5913,307
30801,Central Highlands (Qld),0,60225.3937,308
30803,Rockhampton,0,18328.1353,308
30804,Biloela,0,28550.1865,308
30805,Gladstone,0,10484.2861,308
30901,Broadbeach - Burleigh,0,33.6726,309
30902,Coolangatta,0,34.9326,309
30903,Gold Coast - North,0,40.6695,309
30904,Gold Coast Hinterland,0,828.0472,309
30905,Mudgeeraba - Tallebudgera,0,189.0406,309
30906,Nerang,0,123.1535,309
30907,Ormeau - Oxenford,0,519.8605,309
30908,Robina,0,33.6326,309
30909,Southport,0,35.0565,309
30910,Surfers Paradise,0,19.7118,309
31001,Forest Lake - Oxley,0,63.7138,310
31002,Ipswich Hinterland,0,6135.8159,310
31003,Ipswich Inner,0,378.0559,310
31004,Springfield - Redbank,0,103.5925,310
31101,Beaudesert,0,1628.0297,311
31102,Beenleigh,0,60.1509,311
31103,Browns Plains,0,169.579,311
31104,Jimboomba,0,582.4333,311
31105,Loganlea - Carbrook,0,88.7275,311
31106,Springwood - Kingston,0,57.2426,311
31201,Bowen Basin - North,0,79852.7838,312
31202,Mackay,0,7613.2963,312
31203,Whitsunday,0,2674.1083,312
31301,Bribie - Beachmere,0,255.4465,313
31302,Caboolture,0,314.7214,313
31303,Caboolture Hinterland,0,3388.2853,313
31304,Narangba - Burpengary,0,172.4129,313
31305,Redcliffe,0,213.5896,313
31401,The Hills District,0,668.681,314
31402,North Lakes,0,66.3172,314
31403,Strathpine,0,38.3965,314
31501,Far North,0,250877.5631,315
31502,Outback - North,0,307081.5221,315
31503,Outback - South,0,625216.0427,315
31601,Buderim,0,76.1298,316
31602,Caloundra,0,113.1063,316
31603,Maroochy,0,70.3493,316
31605,Noosa,0,92.103,316
31606,Sunshine Coast Hinterland,0,1568.2703,316
31607,Nambour,0,345.8863,316
31608,Noosa Hinterland,0,820.066,316
31701,Toowoomba,0,2258.7953,317
31801,Charters Towers - Ayr - Ingham,0,76209.8055,318
31802,Townsville,0,3826.2923,318
31901,Bundaberg,0,3786.0985,319
31902,Burnett,0,30736.8312,319
31903,Gympie - Cooloola,0,6975.2345,319
31904,Hervey Bay,0,251.5566,319
31905,Maryborough,0,6752.9517,319
39797,Migratory - Offshore - Shipping (Qld),0,,397
39999,No usual address (Qld),0,,399
40101,Adelaide City,0,15.5733,401
40102,Adelaide Hills,0,1388.1169,401
40103,Burnside,0,27.5183,401
40104,Campbelltown (SA),0,25.3679,401
40105,Norwood - Payneham - St Peters,0,15.1036,401
40106,Prospect - Walkerville,0,11.3215,401
40107,Unley,0,14.2703,401
40201,Gawler - Two Wells,0,306.865,402
40202,Playford,0,356.8037,402
40203,Port Adelaide - East,0,34.8401,402
40204,Salisbury,0,150.1709,402
40205,Tea Tree Gully,0,91.3141,402
40301,Holdfast Bay,0,13.14,403
40302,Marion,0,56.1995,403
40303,Mitcham,0,74.3702,403
40304,Onkaparinga,0,519.372,403
40401,Charles Sturt,0,53.3186,404
40402,Port Adelaide - West,0,67.7726,404
40403,West Torrens,0,38.4474,404
40501,Barossa,0,2837.1519,405
40502,Lower North,0,13728.9588,405
40503,Mid North,0,14409.4799,405
40504,Yorke Peninsula,0,6740.7943,405
40601,Eyre Peninsula and South West,0,235294.8179,406
40602,Outback - North and East,0,642477.7578,406
40701,Fleurieu - Kangaroo Island,0,7363.5869,407
40702,Limestone Coast,0,21336.388,407
40703,Murray and Mallee,0,36782.5988,407
49797,Migratory - Offshore - Shipping (SA),0,,497
49999,No usual address (SA),0,,499
50101,Augusta - Margaret River - Busselton,0,3664.3233,501
50102,Bunbury,0,5449.5137,501
50103,Manjimup,0,15688.5749,501
50201,Mandurah,0,1032.8629,502
50301,Cottesloe - Claremont,0,48.7152,503
50302,Perth City,0,43.5389,503
50401,Bayswater - Bassendean,0,44.6693,504
50402,Mundaring,0,685.4311,504
50403,Swan,0,1032.3315,504
50501,Joondalup,0,100.486,505
50502,Stirling,0,99.3262,505
50503,Wanneroo,0,684.2006,505
50601,Armadale,0,559.5258,506
50602,Belmont - Victoria Park,0,60.1098,506
50603,Canning,0,68.1883,506
50604,Gosnells,0,127.2976,506
50605,Kalamunda,0,283.8001,506
50606,Serpentine - Jarrahdale,0,904.7635,506
50607,South Perth,0,20.3068,506
50701,Cockburn,0,148.2103,507
50702,Fremantle,0,41.6515,507
50703,Kwinana,0,120.0123,507
50704,Melville,0,53.4537,507
50705,Rockingham,0,257.6907,507
50901,Albany,0,37888.1495,509
50902,Wheat Belt - North,0,110694.5772,509
50903,Wheat Belt - South,0,48762.8059,509
51001,Kimberley,0,419245.0882,510
51002,East Pilbara,0,390711.986,510
51003,West Pilbara,0,116066.0889,510
51101,Esperance,0,55660.6599,511
51102,Gascoyne,0,135064.617,511
51103,Goldfields,0,714524.7709,511
51104,Mid West,0,466794.755,511
59797,Migratory - Offshore - Shipping (WA),0,,597
59999,No usual address (WA),0,,599
60101,Brighton,0,176.0777,601
60102,Hobart - North East,0,265.9424,601
60103,Hobart - North West,0,168.2969,601
60104,Hobart - South and West,0,328.5062,601
60105,Hobart Inner,0,62.2114,601
60106,Sorell - Dodges Ferry,0,694.3265,601
60201,Launceston,0,260.7087,602
60202,Meander Valley - West Tamar,0,3978.9607,602
60203,North East,0,15735.6666,602
60301,Central Highlands (Tas.),0,18426.7331,603
60302,Huon - Bruny Island,0,2192.6815,603
60303,South East Coast,0,3202.6379,603
60401,Burnie - Ulverstone,0,1604.4732,604
60402,Devonport,0,1894.3586,604
60403,West Coast,0,19025.9579,604
69797,Migratory - Offshore - Shipping (Tas.),0,,697
69999,No usual address (Tas.),0,,699
70101,Darwin City,0,40.6351,701
70102,Darwin Suburbs,0,136.0284,701
70103,Litchfield,0,2938.5111,701
70104,Palmerston,0,52.5288,701
70201,Alice Springs,0,569600.4059,702
70202,Barkly,0,303211.1804,702
70203,Daly - Tiwi - West Arnhem,0,112294.8533,702
70204,East Arnhem,0,33606.5893,702
70205,Katherine,0,326253.7608,702
79797,Migratory - Offshore - Shipping (NT),0,,797
79999,No usual address (NT),0,,799
80101,Belconnen,0,112.2636,801
80103,Canberra East,0,211.7957,801
80104,Gungahlin,0,91.8779,801
80105,North Canberra,0,44.7228,801
80106,South Canberra,0,44.4113,801
80107,Tuggeranong,0,159.6268,801
80108,Weston Creek,0,18.1487,801
80109,Woden Valley,0,28.6004,801
80110,Molonglo,0,27.1507,801
80111,Uriarra - Namadgi,3,1619.5351,801
89797,Migratory - Offshore - Shipping (ACT),0,,897
89999,No usual address (ACT),0,,899
90101,Christmas Island,0,136.1356,901
90102,Cocos (Keeling) Islands,0,13.7258,901
90103,Jervis Bay,0,67.2296,901
90104,Norfolk Island,0,38.651,901
99797,Migratory - Offshore - Shipping (OT),0,,997
99999,No usual address (OT),0,,999
ZZZZZ,Outside Australia,1,,ZZZ
