SA1_CODE_2021,UCL_CODE_2021
11501129025,101001
11802165101,101001
11802165102,101001
11802165103,101001
11802165104,101001
11802165105,101001
11901136015,101001
11901136016,101001
11901136017,101001
11901136018,101001
11901136019,101001
11802165403,101001
11802165404,101001
11802165405,101001
11802165406,101001
11802165407,101001
11802165408,101001
11802165409,101001
11802165410,101001
11802165411,101001
11802165412,101001
11802156510,101001
11802156511,101001
11802156512,101001
11802156513,101001
11802156514,101001
11802156515,101001
11802156516,101001
11802156517,101001
11802156518,101001
11802156519,101001
11802156520,101001
11802156521,101001
11802156522,101001
11802156523,101001
11802165106,101001
11802165107,101001
11802165108,101001
11802165109,101001
11802165110,101001
11802165111,101001
11802165112,101001
11802165113,101001
11802165114,101001
11802165115,101001
11802165116,101001
11802165117,101001
11901136020,101001
11901136021,101001
11901136022,101001
11901136023,101001
11901136024,101001
11901136025,101001
11901136026,101001
11901136027,101001
11901136028,101001
11901136029,101001
11901136030,101001
11802165413,101001
11802165414,101001
11802165415,101001
11802165416,101001
11901135401,101001
11901135402,101001
11901135403,101001
11901135404,101001
11802156524,101001
11802156525,101001
11802156526,101001
11802156527,101001
11802156528,101001
11802156529,101001
11802156530,101001
11802156531,101001
11802156532,101001
11802156533,101001
11802156601,101001
11802156602,101001
11802156603,101001
11802165118,101001
11802165119,101001
11802165120,101001
11802165121,101001
11802165122,101001
11802165123,101001
11802165124,101001
11901136031,101001
11901136032,101001
11901136033,101001
11901136034,101001
11901136035,101001
11901136101,101001
11901136102,101001
11901136103,101001
11901136104,101001
11901136105,101001
11901135405,101001
11901135406,101001
11901135407,101001
11901135408,101001
11901135409,101001
11901135410,101001
11901135411,101001
11901135412,101001
11901135413,101001
11802156604,101001
11802156605,101001
11802156606,101001
11802156607,101001
11802156608,101001
11802156609,101001
11802156610,101001
11802156611,101001
11802156612,101001
11802156613,101001
11802165125,101001
11802165126,101001
11802165127,101001
11802165128,101001
11802165129,101001
11802165130,101001
11802165131,101001
11802165132,101001
11802165133,101001
11901136106,101001
11901136107,101001
11901136108,101001
11901136109,101001
11901136110,101001
11901136111,101001
11901136112,101001
11901136113,101001
11901136114,101001
11901136115,101001
11901135414,101001
11901135415,101001
11901135416,101001
11901135417,101001
11901135418,101001
11901135419,101001
11901135420,101001
11802156614,101001
11802156615,101001
11802156616,101001
11802156617,101001
11802156618,101001
11802156619,101001
11802156620,101001
11802156621,101001
11802156701,101001
11802156702,101001
11802165134,101001
11802165135,101001
11802165136,101001
11802165137,101001
11802165138,101001
11802165139,101001
11802165140,101001
11802165141,101001
11802165142,101001
11802165143,101001
11901136116,101001
11901136117,101001
11901136118,101001
11901136119,101001
11901136120,101001
11901136122,101001
11901136123,101001
11901136124,101001
11901136125,101001
11901136126,101001
11901135421,101001
11901135422,101001
11901135423,101001
11801133939,101001
11801133940,101001
11801133941,101001
11801133942,101001
11801133943,101001
11801133944,101001
11801133945,101001
11801133946,101001
11801133947,101001
11801133948,101001
11801133949,101001
11801134001,101001
11801164916,101001
11801164917,101001
11801164918,101001
11801164919,101001
11801164920,101001
11801164921,101001
11801164922,101001
11801134415,101001
11801134416,101001
11801134417,101001
11801134418,101001
11801134419,101001
11801134420,101001
11801134421,101001
11703164408,101001
11703164409,101001
11703164410,101001
11703164411,101001
11703164412,101001
11703164413,101001
11703164414,101001
11801134514,101001
11801134515,101001
11801134516,101001
11801134517,101001
11801134518,101001
11801134519,101001
11801164923,101001
11801164924,101001
11801164925,101001
11801164926,101001
11801164927,101001
11801134422,101001
11801134423,101001
11801134424,101001
11801134501,101001
11801134502,101001
11801134503,101001
11703164415,101001
11703164416,101001
11703164417,101001
11703164418,101001
11703164419,101001
11801134520,101001
11801134521,101001
11801134522,101001
11801134523,101001
11801134524,101001
11801134525,101001
11801134526,101001
11801134527,101001
11801134528,101001
11801164928,101001
11801164929,101001
11801164930,101001
11801164931,101001
11801164932,101001
11801164933,101001
11801134504,101001
11801134505,101001
11801134506,101001
11801134507,101001
11801134508,101001
11801134509,101001
11801134510,101001
11801134511,101001
11801134512,101001
11801134513,101001
11703164420,101001
11703164421,101001
11703164422,101001
11703164423,101001
11703164424,101001
11703164425,101001
11801134529,101001
11801134530,101001
11801134531,101001
11801134532,101001
11801134533,101001
11801134534,101001
11801134535,101001
11801134536,101001
11801134537,101001
11801164934,101001
11801164935,101001
11801165001,101001
11801165002,101001
11801165003,101001
11703163822,101001
11703163823,101001
11703163824,101001
11703163901,101001
11703163902,101001
11703163903,101001
11703163904,101001
11703163905,101001
11703163906,101001
11703163907,101001
11703163908,101001
11703163909,101001
11703164426,101001
11703164427,101001
11703164428,101001
11703164429,101001
11703164501,101001
11703164502,101001
11703164503,101001
11703164504,101001
11703164505,101001
11703164506,101001
11703164507,101001
11703164508,101001
11703164509,101001
11801134601,101001
11801134602,101001
11801134603,101001
11801134604,101001
11801134002,101001
11801134003,101001
11801134004,101001
11801134005,101001
11801134006,101001
11801134007,101001
11801134009,101001
11801134010,101001
11801134012,101001
11801134013,101001
11801134014,101001
11801134015,101001
11703163910,101001
11703163911,101001
11703163912,101001
11703163913,101001
11703163914,101001
11703163915,101001
11703163916,101001
11703163917,101001
11703163918,101001
11703164001,101001
11703164002,101001
11703164003,101001
11703164004,101001
11703164510,101001
11703164511,101001
11703164512,101001
11703164513,101001
11703164514,101001
11703164515,101001
11703164516,101001
11703164517,101001
11703164518,101001
11703164519,101001
11703164520,101001
11801134605,101001
11801134606,101001
11801134607,101001
11801134608,101001
11801134609,101001
11801134016,101001
11801134017,101001
11801134018,101001
11801134019,101001
11801134020,101001
11801134021,101001
11801134022,101001
11801134023,101001
11801134024,101001
11801134025,101001
11703164005,101001
11703164006,101001
11703164007,101001
11703164008,101001
11703164009,101001
11703164010,101001
11703164011,101001
11703164012,101001
11703164013,101001
11703164014,101001
11703164015,101001
11703164521,101001
11703164522,101001
11703164523,101001
11703164524,101001
11703164525,101001
11703164526,101001
11703164527,101001
11703164528,101001
11703164529,101001
11703164530,101001
11703164531,101001
11703164532,101001
11703164533,101001
11703164534,101001
11801134610,101001
11801134611,101001
11801134612,101001
11801134613,101001
11801134026,101001
11801134027,101001
11801134028,101001
11801134029,101001
11801134030,101001
11801134031,101001
11801134032,101001
11801134033,101001
11703164016,101001
11703164017,101001
11703164018,101001
11703164019,101001
11703164020,101001
11703164021,101001
11703164022,101001
11703164023,101001
11703164024,101001
11703164025,101001
11703164026,101001
11703164535,101001
11703164536,101001
11703164601,101001
11703164602,101001
11703164603,101001
11703164604,101001
11703164605,101001
11703164606,101001
11703164607,101001
11703164608,101001
11703164609,101001
11703164610,101001
11703164611,101001
11703164612,101001
11801134614,101001
11801134615,101001
11801134616,101001
11801134617,101001
11801134618,101001
11801134034,101001
11801134035,101001
11801134036,101001
11801134037,101001
11801134038,101001
11801134039,101001
11801134040,101001
11703164027,101001
11703164028,101001
11703164029,101001
11703164030,101001
11703164031,101001
11703164032,101001
11703164033,101001
11703164034,101001
11703164101,101001
11703164102,101001
11703164103,101001
11703164613,101001
11703164614,101001
11703164615,101001
11703164616,101001
11703164617,101001
11703164618,101001
11703164619,101001
11703164620,101001
11703164621,101001
11703164701,101001
11703164702,101001
11703164703,101001
11703164704,101001
11703164705,101001
11703164706,101001
11703164707,101001
11801134619,101001
11801134620,101001
11801134621,101001
11801134622,101001
11801134623,101001
11801134624,101001
11801134625,101001
11801134041,101001
11801134042,101001
11801134043,101001
11801134044,101001
11801134045,101001
11801134046,101001
11801134047,101001
11801134048,101001
11703164104,101001
11703164105,101001
11703164106,101001
11703164107,101001
11703164108,101001
11703164109,101001
11703164110,101001
11703164111,101001
11703164112,101001
11703164708,101001
11703164709,101001
11703164710,101001
11703164711,101001
11703164712,101001
11703164713,101001
11703164714,101001
11703164715,101001
11703164716,101001
11703164717,101001
11703164718,101001
11703164719,101001
11703164720,101001
11703164721,101001
11703164722,101001
11801134626,101001
11801134627,101001
11801134628,101001
11801134629,101001
11801134049,101001
11801134050,101001
11801134051,101001
11801134101,101001
11801134102,101001
11801134103,101001
11801134104,101001
11801134105,101001
11801134107,101001
11801134108,101001
11801134109,101001
11801134110,101001
11703164113,101001
11703164114,101001
11703164115,101001
11703164116,101001
11703164117,101001
11703164118,101001
11703164119,101001
11703164120,101001
11703164121,101001
11703164122,101001
11703164723,101001
11703164724,101001
11703164725,101001
11703164726,101001
11703164727,101001
11703164728,101001
11703164729,101001
11703164730,101001
11703164731,101001
11703164732,101001
11703164733,101001
11703164801,101001
11703164802,101001
11703164803,101001
11703164804,101001
11703164805,101001
11801134630,101001
11801134631,101001
11801134111,101001
11801134112,101001
11801134113,101001
11801134114,101001
11801134115,101001
11801134116,101001
11801134118,101001
11801134119,101001
11801134120,101001
11801134121,101001
11801134122,101001
11703164123,101001
11703164124,101001
11703164125,101001
11703164126,101001
11703164127,101001
11703164128,101001
11703164129,101001
11703164130,101001
11703164201,101001
11703164806,101001
11703164807,101001
11703164808,101001
11703164809,101001
11703164810,101001
11703164811,101001
11703164812,101001
11703164813,101001
11703164814,101001
11703164815,101001
11703164816,101001
11703164817,101001
11703164818,101001
11703164819,101001
11801134632,101001
11801134701,101001
11801134702,101001
11801134703,101001
11801134704,101001
11801134123,101001
11801134124,101001
11801134125,101001
11801134126,101001
11801134127,101001
11801134128,101001
11801134129,101001
11801134130,101001
11801134131,101001
11801134132,101001
11703164202,101001
11703164203,101001
11703164204,101001
11703164205,101001
11703164206,101001
11703164207,101001
11703164208,101001
11703164209,101001
11703164210,101001
11703164820,101001
11703164821,101001
11703164822,101001
11703164823,101001
11703164824,101001
11703164825,101001
11703164826,101001
11703164827,101001
11801133901,101001
11801133902,101001
11801133903,101001
11801134705,101001
11801134706,101001
11801134707,101001
11801134708,101001
11801134709,101001
11801134710,101001
11801134711,101001
11801134133,101001
11801134134,101001
11801134135,101001
11801134136,101001
11801134137,101001
11801134138,101001
11801134139,101001
11801134140,101001
11801134141,101001
11801134142,101001
11703164211,101001
11703164212,101001
11703164213,101001
11703164214,101001
11703164215,101001
11703164216,101001
11703164217,101001
11703164218,101001
11703164219,101001
11703164220,101001
11703164221,101001
11703164222,101001
11703164223,101001
11703164224,101001
11703164225,101001
11801133904,101001
11801133905,101001
11801133906,101001
11801133907,101001
11801133908,101001
11801134712,101001
11801134713,101001
11801134714,101001
11801134715,101001
11801134716,101001
11801134717,101001
11801164901,101001
11801164902,101001
11801134143,101001
11801134201,101001
11801134401,101001
11801134402,101001
11801134403,101001
11703164226,101001
11703164227,101001
11703164228,101001
11703164229,101001
11703164230,101001
11703164231,101001
11703164232,101001
11703164233,101001
11703164301,101001
11703164302,101001
11703164303,101001
11703164304,101001
11703164305,101001
11801133909,101001
11801133910,101001
11801133911,101001
11801133912,101001
11801133913,101001
11801164903,101001
11801164904,101001
11801164905,101001
11801164906,101001
11801164907,101001
11801164908,101001
11801134404,101001
11801134405,101001
11801134406,101001
11801134407,101001
11801134408,101001
11801134409,101001
11703164306,101001
11703164307,101001
11703164308,101001
11703164309,101001
11703164310,101001
11703164311,101001
11703164312,101001
11703164313,101001
11703164314,101001
11703164315,101001
11703164316,101001
11703164317,101001
11703164318,101001
11703164319,101001
11703164320,101001
11801133914,101001
11801133915,101001
11801133916,101001
11801133917,101001
11801133918,101001
11801133919,101001
11801133920,101001
11801133921,101001
11801133922,101001
11801133923,101001
11801133924,101001
11801164909,101001
11801164910,101001
11801164911,101001
11801164912,101001
11801164913,101001
11801164914,101001
11801164915,101001
11801134410,101001
11801134411,101001
11801134412,101001
11801134413,101001
11801134414,101001
11703164321,101001
11703164401,101001
11703164402,101001
11703164403,101001
11703164404,101001
11703164405,101001
11703164406,101001
11703164407,101001
11801133925,101001
11801133926,101001
11801133927,101001
11801133928,101001
11801133929,101001
11801133930,101001
11801133931,101001
11801133932,101001
11801133933,101001
11801133934,101001
11801133936,101001
11801133937,101001
11801133938,101001
11904137711,101001
11904137712,101001
11904137713,101001
11904137714,101001
11904137715,101001
11904137716,101001
11904137717,101001
11904137718,101001
11904137719,101001
11904137720,101001
11904137721,101001
11904166905,101001
11904166906,101001
11904166907,101001
11904166908,101001
11904166909,101001
11904166910,101001
11904166911,101001
11904166912,101001
11904138010,101001
11904138011,101001
11904138012,101001
11904138013,101001
11904138014,101001
11904138015,101001
11904138016,101001
11904138017,101001
11904138018,101001
11904138019,101001
11904138020,101001
11903137441,101001
11903137442,101001
11903137443,101001
11903137444,101001
11903137445,101001
11904138116,101001
11904138117,101001
11904138118,101001
11904138120,101001
11904138121,101001
11904138124,101001
11904138125,101001
11904138126,101001
11904138127,101001
11904166913,101001
11904166914,101001
11904166915,101001
11904166916,101001
11904166917,101001
11904166918,101001
11904166919,101001
11904166920,101001
11904166921,101001
11904138021,101001
11904138022,101001
11904138023,101001
11904138024,101001
11904138025,101001
11904138026,101001
11904138027,101001
11904138028,101001
11903137446,101001
11903137447,101001
11903137448,101001
11903137449,101001
11903137450,101001
11903137451,101001
11904138128,101001
11904138129,101001
11904138130,101001
11904138131,101001
11904138132,101001
11904138133,101001
11904138135,101001
11904166922,101001
11904167001,101001
11904167002,101001
11904167003,101001
11904167004,101001
11904167005,101001
11904167006,101001
11904167007,101001
11904167008,101001
11904167009,101001
11904167010,101001
11904138029,101001
11904138030,101001
11904138031,101001
11904138032,101001
11904138101,101001
11904138102,101001
11904138103,101001
11904138104,101001
11904138106,101001
11904138107,101001
11903137452,101001
11903137453,101001
11903137454,101001
11904138136,101001
11904138138,101001
11904138139,101001
11904138140,101001
11904138141,101001
11904138142,101001
11904138143,101001
11904138144,101001
11904138145,101001
11904138146,101001
11904138147,101001
11904167011,101001
11904167012,101001
11904167013,101001
11904167014,101001
11904167015,101001
11904167016,101001
11904167017,101001
11904167018,101001
11904167019,101001
11904167020,101001
11904167021,101001
11904138108,101001
11904138109,101001
11904138110,101001
11904138111,101001
11904138112,101001
11904138113,101001
11904138114,101001
11904138115,101001
11903137455,101001
11903137456,101001
11903137457,101001
11904138148,101001
11904138149,101001
11904138150,101001
11904138151,101001
11904138152,101001
11904138153,101001
11904138154,101001
11904138155,101001
11904138156,101001
11904138157,101001
11904138158,101001
11904167022,101001
11904167023,101001
11904167024,101001
11904167025,101001
11904167026,101001
11904167027,101001
11904167028,101001
11904167029,101001
11904167030,101001
11904167031,101001
11904167032,101001
11904167033,101001
11903137234,101001
11903137235,101001
11903137236,101001
11903137237,101001
11903137238,101001
11903137458,101001
11903137459,101001
11903137460,101001
11903137461,101001
11903137462,101001
11903166401,101001
11903166402,101001
11904138201,101001
11904138202,101001
11904138203,101001
11904138204,101001
11904138205,101001
11904137722,101001
11904137723,101001
11904137724,101001
11904137725,101001
11904137726,101001
11903137239,101001
11903137240,101001
11903137241,101001
11903137242,101001
11903137243,101001
11903137244,101001
11903166403,101001
11903166404,101001
11903166405,101001
11903166406,101001
11903166407,101001
11903166408,101001
11903166409,101001
11903166410,101001
11903166411,101001
11903166412,101001
11904138206,101001
11904138207,101001
11904138208,101001
11904138209,101001
11904138210,101001
11904138211,101001
11904137727,101001
11904137728,101001
11904137729,101001
11903137245,101001
11903137246,101001
11903137247,101001
11903137248,101001
11903137249,101001
11903137250,101001
11903137251,101001
11903166413,101001
11903166414,101001
11903166415,101001
11903166416,101001
11903166417,101001
11903166418,101001
11903166419,101001
11903166420,101001
11903166421,101001
11903166422,101001
11903166423,101001
11904138212,101001
11904138213,101001
11904138214,101001
11904138215,101001
11904138216,101001
11904138217,101001
11904138218,101001
11904138219,101001
11904137730,101001
11904137731,101001
11904137732,101001
11904137733,101001
11904137734,101001
11904137801,101001
11903137301,101001
11903137302,101001
11903137303,101001
11903137304,101001
11903137305,101001
11903137306,101001
11903137307,101001
11903137308,101001
11903166501,101001
11903166502,101001
11903166503,101001
11903166504,101001
11903166505,101001
11903166506,101001
11903166507,101001
11903166508,101001
11903166509,101001
11903166510,101001
11903166511,101001
11903166512,101001
11903166513,101001
11904138220,101001
11904138221,101001
11904138222,101001
11904138223,101001
11904138224,101001
11904137802,101001
11904137803,101001
11904137804,101001
11904137805,101001
11904137806,101001
11904137807,101001
11904137808,101001
11904137809,101001
11904137810,101001
11904137811,101001
11904137812,101001
11904137813,101001
11904137814,101001
11903137309,101001
11903137311,101001
11903137312,101001
11903137313,101001
11903137314,101001
11903137315,101001
11903137317,101001
11903137318,101001
11903166514,101001
11903166515,101001
11903166516,101001
11903166517,101001
11903166518,101001
11903166519,101001
11903166520,101001
11903166521,101001
11903166522,101001
11903166523,101001
11903166524,101001
11903166525,101001
11903166526,101001
11903166527,101001
11904138225,101001
11904138226,101001
11904138227,101001
11904138228,101001
11904138229,101001
11904138230,101001
11904138231,101001
11904137815,101001
11904137816,101001
11904137817,101001
11904137818,101001
11904137820,101001
11904137821,101001
11904137822,101001
11904137823,101001
11904137825,101001
11904137826,101001
11903137320,101001
11903137321,101001
11903137322,101001
11903137323,101001
11903137324,101001
11903137325,101001
11903137326,101001
11903137327,101001
11903137328,101001
11903137329,101001
11903137330,101001
11903166601,101001
11903166602,101001
11903166603,101001
11903166604,101001
11903166605,101001
11903166606,101001
11903166607,101001
11904138232,101001
11904138233,101001
11904138234,101001
11904138235,101001
11904138236,101001
11904137827,101001
11904137828,101001
11904137829,101001
11904137830,101001
11904137831,101001
11904137901,101001
11904137902,101001
11904137903,101001
11904137904,101001
11904137905,101001
11903137331,101001
11903137332,101001
11903137333,101001
11903137334,101001
11903137401,101001
11903137402,101001
11903137403,101001
11903137404,101001
11903137405,101001
11903137407,101001
11903137408,101001
11903137409,101001
11903166608,101001
11903166609,101001
11903166610,101001
11903166611,101001
11903166612,101001
11903166613,101001
11903166614,101001
11903166615,101001
11903166616,101001
11903166617,101001
11904138237,101001
11904138238,101001
11904138239,101001
11904166801,101001
11904166802,101001
11904166803,101001
11904166804,101001
11904137906,101001
11904137907,101001
11904137908,101001
11904137909,101001
11904137910,101001
11904137911,101001
11904137912,101001
11904137913,101001
11903137410,101001
11903137411,101001
11903137412,101001
11903137413,101001
11903137414,101001
11903137415,101001
11903137416,101001
11903166618,101001
11903166619,101001
11903166620,101001
11903166621,101001
11903166622,101001
11903166623,101001
11903166624,101001
11903166625,101001
11903166626,101001
11903166627,101001
11904166805,101001
11904166806,101001
11904166807,101001
11904166808,101001
11904166809,101001
11904166810,101001
11904166811,101001
11904166812,101001
11904166813,101001
11904137914,101001
11904137915,101001
11904137916,101001
11904137917,101001
11904137918,101001
11904137919,101001
11904137920,101001
11904137921,101001
11904137922,101001
11904137923,101001
11904137924,101001
11903137417,101001
11903137418,101001
11903137419,101001
11903137421,101001
11903137422,101001
11903137423,101001
11903137424,101001
11903166628,101001
11903166629,101001
11903166630,101001
11903166631,101001
11903166632,101001
11903166701,101001
11903166702,101001
11903166703,101001
11903166704,101001
11904166814,101001
11904166815,101001
11904166816,101001
11904166817,101001
11904166818,101001
11904166819,101001
11904166820,101001
11904166821,101001
11904137925,101001
11904137926,101001
11904137927,101001
11904137928,101001
11904137929,101001
11904137930,101001
11904137931,101001
11904137932,101001
11903137425,101001
11903137426,101001
11903137427,101001
11903137428,101001
11903137429,101001
11903137430,101001
11903137431,101001
11903137432,101001
11903137433,101001
11903166705,101001
11903166706,101001
11903166707,101001
11903166708,101001
11903166709,101001
11903166710,101001
11903166711,101001
11903166712,101001
11903166713,101001
11903166714,101001
11904166822,101001
11904166823,101001
11904166824,101001
11904166825,101001
11904166826,101001
11904166827,101001
11904166828,101001
11904166829,101001
11904166830,101001
11904166831,101001
11904137933,101001
11904137934,101001
11904137935,101001
11904137936,101001
11904137937,101001
11904138001,101001
11903137434,101001
11903137435,101001
11903137436,101001
11903137437,101001
11903137438,101001
11903137439,101001
