DZN_CODE_2021,AREA_ALBERS_SQKM,SA2_CODE_2021
111357280,744.3423,107021135
111360001,1.5007,107031136
111360002,4.3636,107031136
111367519,66.4681,107031136
111367521,2.793,107031136
111377534,1.3208,107031137
111377535,1.0638,107031137
111377536,2.8654,107031137
111377537,1.9182,107031137
111387632,7.3468,107031138
111387633,2.3506,107031138
111387634,4.1579,107031138
111397618,4.775,107031139
111397619,2.486,107031139
111407550,92.8346,107031140
111407551,6.1527,107031140
111407552,123.2738,107031140
111410001,3.2053,107031141
111417600,32.7068,107031141
111417601,10.4361,107031141
111417603,1.8234,107031141
111417604,1.4097,107031141
111427565,1.5858,107031142
111427566,0.9135,107031142
111427567,0.7032,107031142
111427568,2.0209,107031142
111427569,0.8276,107031142
111437582,1.5661,107031143
111437583,1.7536,107031143
111437584,2.1878,107031143
111437585,1.8241,107031143
111437586,0.7998,107031143
111437587,1.3635,107031143
111447383,0.4618,107041144
111447384,2.3189,107041144
111447385,1.8438,107041144
111447386,1.8607,107041144
111447387,2.8256,107041144
111447388,1.4749,107041144
111447389,1.4781,107041144
111457365,2.5805,107041145
111457366,1.2675,107041145
111457367,1.1316,107041145
111457368,2.2647,107041145
111457369,3.2287,107041145
111457370,0.5918,107041145
111467345,1.1858,107041146
111467346,0.9543,107041146
111467347,3.7003,107041146
111467348,1.4899,107041146
111467349,1.0011,107041146
111467350,6.6088,107041146
111467351,1.5467,107041146
111467352,2.326,107041146
111477293,103.6273,107041147
111477294,7.5507,107041147
111477295,37.3611,107041147
111477296,6.2982,107041147
111487309,3.778,107041148
111487310,1.0737,107041148
111487311,3.3572,107041148
111487312,2.0988,107041148
111487313,5.8481,107041148
111507326,1.4472,107041150
111507327,2.5053,107041150
111507328,3.7136,107041150
111507329,1.0649,107041150
111507330,2.3576,107041150
111507331,1.0232,107041150
111507332,3.6729,107041150
111518383,3.037,108011151
111518384,1065.6483,108011151
111518385,2.5821,108011151
111518386,1262.7571,108011151
111528397,5.6764,108011152
111528398,28.1966,108011152
111538392,201.4859,108011153
111538393,167.7283,108011153
111538394,380.2631,108011153
111548389,15.6698,108011154
111558322,66.4042,108021155
111558323,21.2948,108021155
111558324,28.2996,108021155
111558325,79.1575,108021155
111568300,2462.7325,108021156
111568301,528.2441,108021156
111568302,248.8907,108021156
111568303,181.8734,108021156
111568304,205.5184,108021156
111578318,29.6443,108021157
111578319,54.1487,108021157
111580001,22.6887,108021158
111588315,8.3616,108021158
111598307,1056.2229,108021159
111598308,139.2931,108021159
111598309,2.2294,108021159
111598310,158.3534,108021159
111608328,45.9673,108021160
111618401,16.2918,108031161
111628337,288.832,108041162
111628338,128.319,108041162
111628339,6.0174,108041162
111628340,38.3974,108041162
111628341,63.3404,108041162
111640001,3.5185,108041164
111640002,40.3872,108041164
111640003,10.2611,108041164
111650001,323.825,108041165
111658331,2289.333,108041165
111658334,258.5893,108041165
111668344,54.2268,108041166
111668345,21.5256,108041166
111668346,119.1087,108041166
111678355,2874.7426,108051167
111678356,59.125,108051167
111688377,77.0722,108051168
111688378,68.4976,108051168
111688379,60.647,108051168
111688380,3.4014,108051168
111698373,58.7245,108051169
111698374,18.5487,108051169
111698375,5.8143,108051169
111698376,12.123,108051169
111698377,2.1327,108051169
111698378,8.4472,108051169
111698379,19.3282,108051169
111700001,951.5861,108051170
111708359,1678.7194,108051170
111708362,35.4037,108051170
111708363,307.7109,108051170
111708364,36.2583,108051170
111708365,295.3863,108051170
111708366,39.8682,108051170
111718369,61.5309,108051171
111728921,21.3189,109011172
111728922,11.0401,109011172
111728923,69.125,109011172
111738912,19.9408,109011173
111738913,4.2144,109011173
111748908,39.1987,109011174
111748909,4.7228,109011174
111748910,4.2227,109011174
111758898,635.2444,109011175
111758899,310.0795,109011175
111758900,376.8413,109011175
111758901,321.63,109011175
111758902,2701.2171,109011175
111758903,344.4526,109011175
111758904,110.3882,109011175
111758905,601.9002,109011175
111768916,14.5387,109011176
111768917,2.888,109011176
111768918,4.0403,109011176
111778863,13912.1665,109021177
111778864,10.731,109021177
111788852,103.6761,109021178
111788853,156.3952,109021178
111788854,62.3854,109021178
111798857,25933.4771,109021179
111798858,23491.2866,109021179
111798859,3.5294,109021179
111798860,294.2355,109021179
111808895,77.1283,109031180
111818888,2048.9708,109031181
111818890,18.6416,109031181
111818892,156.4024,109031181
111818893,2271.1409,109031181
111828867,143.2081,109031182
111838870,2063.4075,109031183
111838871,3354.3829,109031183
111838872,4.1002,109031183
111838873,2316.4756,109031183
111838874,10599.5792,109031183
111848878,167.0068,109031184
111858881,2945.2712,109031185
111858882,456.9053,109031185
111858883,388.5153,109031185
111858884,1010.8093,109031185
111858885,209.6579,109031185
111868671,247.2503,110011186
111868672,11.0166,110011186
111868673,4.9001,110011186
111868674,5.6188,110011186
111868675,5.8138,110011186
111878677,7.7244,110011187
111878678,2044.3297,110011187
111878679,1681.2056,110011187
111878680,2364.9756,110011187
111880001,8.2332,110011188
111880002,1370.2277,110011188
111888665,1698.5227,110011188
111888666,203.2956,110011188
111898683,3.6711,110011189
111898684,3682.3037,110011189
111898685,3056.5605,110011189
111908622,1447.6291,110021190
111908623,347.902,110021190
111908624,40.3262,110021190
111908625,3644.1197,110021190
111910001,144.6826,110021191
111910002,62.9791,110021191
111928610,2306.3272,110021192
111928611,3385.051,110021192
111928612,867.7558,110021192
111928613,1600.751,110021192
111928614,1110.9717,110021192
111938600,3878.973,110021193
111938601,3.5224,110021193
111938602,3352.6151,110021193
111938603,560.3282,110021193
111938604,488.2012,110021193
111948617,2916.5731,110021194
111948618,7.2653,110021194
111948619,4400.4688,110021194
111958588,69.3971,110031195
111968583,8485.0011,110031196
111968584,8107.5157,110031196
111968585,3214.7995,110031196
111978597,180.363,110031197
111988591,3351.9228,110031198
111988592,4.5377,110031198
111988593,4576.0247,110031198
111988594,4033.1588,110031198
111998628,90.1551,110041199
112008631,914.7277,110041200
112008632,1634.8049,110041200
112008633,3216.3285,110041200
112018636,2367.2393,110041201
112018637,723.4799,110041201
112018638,9.78,110041201
112018639,1977.3432,110041201
112028659,3.361,110041202
112028660,3.6862,110041202
112028661,9.1798,110041202
112028662,85.9536,110041202
112038646,23.4699,110041203
112038647,12.9294,110041203
112038648,39.6429,110041203
112048642,59.0799,110041204
112048643,3.4422,110041204
112058651,2.6989,110041205
112058652,3033.9635,110041205
112058653,70.6364,110041205
112058654,1739.6337,110041205
112058655,111.8085,110041205
112058656,4021.7431,110041205
112066729,8.3743,111011206
112066730,2.1604,111011206
112066731,3.7134,111011206
112066732,2.3925,111011206
112066733,1.853,111011206
112066734,3.7166,111011206
112076747,2.4885,111011207
112076748,4.3183,111011207
112086707,5.5754,111011208
112086708,1.3546,111011208
112086709,3.2443,111011208
112086710,1.674,111011208
112086711,4.33,111011208
112086712,1.3197,111011208
112086713,1.2442,111011208
112086714,1.597,111011208
112086715,1.2792,111011208
112086716,0.6611,111011208
112090001,2.3438,111011209
112090002,1.9059,111011209
112096639,4.5627,111011209
112096641,1.8499,111011209
112096642,0.9024,111011209
112096643,1.5233,111011209
112096644,2.7183,111011209
112096645,1.2436,111011209
112096646,1.7843,111011209
112096647,3.0834,111011209
112106692,1.7965,111011210
112106693,1.758,111011210
112106694,2.7109,111011210
112116761,3.6842,111011211
112126774,25.6819,111011212
112126775,1.7113,111011212
112126776,2.5059,111011212
112126777,2.5077,111011212
112130001,1.2371,111011213
112130002,3.0693,111011213
112136677,3.2524,111011213
112136678,2.416,111011213
112146660,1.5274,111011214
112146661,2.064,111011214
112146662,3.0699,111011214
112146664,2.7094,111011214
112146665,0.5654,111011214
112146666,2.6039,111011214
112156577,3.1933,111021215
112156578,3.304,111021215
112156579,2.1749,111021215
112156580,13.2976,111021215
112166611,4.2927,111021216
112166612,5.8666,111021216
112176561,2.3654,111021217
112176562,4.907,111021217
112176563,1.4282,111021217
112176564,6.9072,111021217
112186539,49.2366,111021218
112186540,52.2585,111021218
112186541,4.4881,111021218
112186542,15.3853,111021218
112186543,11.6294,111021218
112186544,76.4391,111021218
112186545,8.4571,111021218
112186546,10.2566,111021218
112186547,15.4589,111021218
112186548,86.9111,111021218
112196593,25.5866,111021219
112196594,2.3535,111021219
112196595,5.5913,111021219
112196596,1.9605,111021219
112196597,2.1207,111021219
112196598,6.05,111021219
112200001,6.877,111021220
112200002,1.9836,111021220
112206625,4.3108,111021220
112216524,59.9529,111021221
112216525,3.5268,111021221
112216526,9.0616,111021221
112226923,2.3146,111031222
112226924,2.181,111031222
112226925,1.094,111031222
112226926,2.4286,111031222
112236790,51.4671,111031223
112236791,5.8994,111031223
112236792,1.8908,111031223
112246939,0.9086,111031224
112246940,0.9888,111031224
112246941,1.7112,111031224
112246942,1.4077,111031224
112246943,0.7108,111031224
112246944,1.0191,111031224
112256872,3.4062,111031225
112256873,1.5104,111031225
112256874,2.3862,111031225
112256875,1.0183,111031225
112256876,0.874,111031225
112256877,1.3534,111031225
112266805,14.5145,111031226
112266806,2.7489,111031226
112276890,0.9717,111031227
112276891,1.5412,111031227
112276892,0.8487,111031227
112276893,0.7272,111031227
112276894,2.3399,111031227
112276895,1.1085,111031227
112286972,3.8686,111031228
112286973,1.6175,111031228
112286974,0.9829,111031228
112286975,0.7774,111031228
112297001,0.6558,111031229
112297002,0.8229,111031229
112297003,0.5625,111031229
112297004,0.2601,111031229
112297005,0.7609,111031229
112297006,0.6604,111031229
112297007,0.2546,111031229
112306908,0.7165,111031230
112306909,5.0344,111031230
112306910,25.108,111031230
112316837,1.2627,111031231
112316838,3.0937,111031231
112316839,2.8784,111031231
112316840,1.6428,111031231
112316841,0.8571,111031231
112316842,2.9739,111031231
112326988,30.5131,111031232
112330001,1.1218,111031233
112330002,1.1928,111031233
112336819,1.874,111031233
112336820,3.2878,111031233
112336822,11.6646,111031233
112336823,0.9997,111031233
112336824,1.3793,111031233
112346855,1.1887,111031234
112346856,0.7673,111031234
112346857,0.7955,111031234
112346858,1.296,111031234
112346859,1.0665,111031234
112350001,1.3839,111031235
112350002,0.49,111031235
112356958,0.7137,111031235
112356959,0.9673,111031235
112368577,6.4084,112011236
112368578,9.2838,112011236
112368579,16.1517,112011236
112368580,4.3163,112011236
112378565,19.611,112011237
112378566,3.026,112011237
112378567,206.7131,112011237
112378568,118.5025,112011237
112378569,58.696,112011237
112388559,110.5594,112011238
112388560,1.8019,112011238
112388561,18.7792,112011238
112388562,55.3888,112011238
112398554,22.4146,112011239
112398555,4.0461,112011239
112398556,27.9847,112011239
112408572,17.5911,112011240
112408573,22.186,112011240
112418548,465.7946,112011241
112418549,1.7525,112011241
112418550,61.4767,112011241
112418551,14.5124,112011241
112428580,37.846,112011242
112438544,207.5461,112011243
112438545,60.5289,112011243
112440001,53.7896,112021244
112440002,83.6433,112021244
112440003,1.5252,112021244
112458484,1066.606,112021245
112458485,505.3834,112021245
112458486,804.4798,112021245
112458487,1482.1693,112021245
112458488,91.4639,112021245
112460001,9.5003,112021246
112460002,6.1125,112021246
112460003,9.6141,112021246
112478479,1405.527,112021247
112478480,5.6632,112021247
112478481,568.5876,112021247
112488494,9.9042,112021248
112488495,19.6001,112021248
112488497,2.9656,112021248
112488498,1.9115,112021248
112488499,23.8386,112021248
112488500,1.6621,112021248
112488501,3.4276,112021248
112498502,22.0236,112021249
112498503,637.6863,112021249
112498504,35.7835,112021249
112498505,169.5124,112021249
112498506,368.2363,112021249
112508540,4.8084,112031250
112508541,22.1439,112031250
112508542,6.3269,112031250
112508543,5.1567,112031250
112518517,12.9714,112031251
112518518,11.3154,112031251
112528512,684.0028,112031252
112528513,16.3366,112031252
112528514,207.9021,112031252
112530001,70.2417,112031253
112538533,62.0688,112031253
112538534,44.1079,112031253
112538536,2.1483,112031253
112538537,10.8968,112031253
112548521,45.2963,112031254
112548522,19.6663,112031254
112548523,22.5109,112031254
112548524,9.2,112031254
112548525,1.978,112031254
112548526,1.7828,112031254
112560001,13.1737,113011256
112560002,31.6756,113011256
112560003,11.4839,113011256
112578761,8518.5583,113011257
112578762,5743.8656,113011257
112578763,1226.9369,113011257
112578764,284.8039,113011257
112578765,3.0959,113011257
112578766,2668.9718,113011257
112578767,3934.061,113011257
112578768,639.9111,113011257
112588774,355.4824,113011258
112588775,18.3923,113011258
112598778,5385.4771,113011259
112598779,23.7993,113011259
112608847,1838.3985,113021260
112608848,6.2643,113021260
112608849,2676.0115,113021260
112618837,40.3087,113021261
112620001,4.5002,113021262
112628840,2.6267,113021262
112628841,947.2814,113021262
112628842,625.887,113021262
112628843,192.5758,113021262
112628844,2840.872,113021262
112638821,386.453,113031263
112638822,439.9878,113031263
112638823,7.8566,113031263
112638824,821.8248,113031263
112648833,2353.4792,113031264
112648834,9.0449,113031264
112658801,31.0251,113031265
112658802,1939.8495,113031265
112668782,669.4751,113031266
112668783,985.5538,113031266
112668784,298.9849,113031266
112668785,1480.2481,113031266
112678827,4.8856,113031267
112678828,22.8729,113031267
112678829,9.8732,113031267
112678830,16.4112,113031267
112688817,6.9987,113031268
112688818,46.6789,113031268
112698810,3.0583,113031269
112698811,4.2372,113031269
112698812,2.0772,113031269
112698813,17.9752,113031269
112698814,2.0879,113031269
112708805,22.8439,113031270
112708806,24.853,113031270
112708807,1.4711,113031270
112708808,4.6218,113031270
112708809,1.1493,113031270
112710001,1152.0256,113031271
112710002,5.4419,113031271
112718788,603.9611,113031271
112718791,2.1523,113031271
112718792,1775.2137,113031271
112718793,2055.7263,113031271
112718794,241.1857,113031271
112718795,581.7062,113031271
112718796,34.62,113031271
112718797,2065.0485,113031271
112718798,817.6061,113031271
112727753,325.0688,114011272
112727754,58.7551,114011272
112727755,4.2675,114011272
112727756,148.997,114011272
112737839,166.9089,114011273
112747825,15.4269,114011274
112747826,60.9748,114011274
112757740,2144.4618,114011275
112767852,18.6233,114011276
112767853,12.3884,114011276
112777769,3.7185,114011277
112777770,31.219,114011277
112777771,3.3417,114011277
112777772,3.9144,114011277
112777773,16.4127,114011277
112777774,21.8189,114011277
112777775,19.3066,114011277
112780001,26.2942,114011278
112780002,1.312,114011278
112787789,34.1182,114011278
112787790,3.3741,114011278
112787791,21.7488,114011278
112787792,5.7844,114011278
112787793,3.8581,114011278
112787794,1.936,114011278
112787795,3.2541,114011278
112797866,39.1087,114011279
112797867,18.8011,114011279
112797868,3.346,114011279
112797869,15.6036,114011279
112807898,28.1516,114011280
112807899,12.2847,114011280
112810001,222.6096,114011281
112810002,89.6856,114011281
112817810,63.6809,114011281
112827911,8.4154,114011282
112827912,7.3381,114011282
112827913,20.196,114011282
112827914,2.6032,114011282
112827915,2.5649,114011282
112827916,5.6589,114011282
112837882,425.4355,114011283
112837883,107.6976,114011283
112837884,144.4817,114011283
112847693,12.4536,114021284
112847694,13.9821,114021284
112847695,21.454,114021284
112847696,2.6825,114021284
112847697,4.9998,114021284
112857663,91.1996,114021285
112857664,83.1756,114021285
112867710,57.2237,114021286
112867711,10.4724,114021286
112867712,6.0607,114021286
112877677,24.9997,114021287
112877678,32.5,114021287
112877679,26.0545,114021287
112877680,34.561,114021287
112887725,252.9435,114021288
112887726,166.9518,114021288
112887727,78.5988,114021288
112897647,496.2279,114021289
112897648,65.1188,114021289
112897649,151.0681,114021289
112897650,697.2865,114021289
112905982,0.9114,115011290
112905983,1.5263,115011290
112905984,1.0682,115011290
112905985,1.8535,115011290
112905986,1.0116,115011290
112905987,0.1688,115011290
112905988,0.7685,115011290
112905989,0.9998,115011290
112910001,0.7319,115011291
112915932,0.9551,115011291
