SED_CODE_2022,SED_NAME_2022
30061,Mundingburra
30062,Murrumba
30063,Nanango
30064,Nicklin
30065,Ninderry
30066,Noosa
30067,Nudgee
30068,Oodgeroo
30069,Pine Rivers
30070,Pumicestone
30071,Redcliffe
30072,Redlands
30073,Rockhampton
30074,Sandgate
30075,Scenic Rim
30076,South Brisbane
30077,Southern Downs
30078,Southport
30079,Springwood
30080,Stafford
30081,Stretton
30082,Surfers Paradise
30083,Theodore
30084,Thuringowa
30085,Toohey
30086,Toowoomba North
30087,Toowoomba South
30088,Townsville
30089,Traeger
30090,Warrego
30091,Waterford
30092,Whitsunday
30093,Woodridge
39494,No usual address (Qld)
39797,Migratory - Offshore - Shipping (Qld)
40001,Adelaide
40002,Badcoe
40003,Black
40004,Bragg
40005,Chaffey
40006,Cheltenham
40007,Colton
40008,Croydon
40009,Davenport
40010,Dunstan
40011,Elder
40012,Elizabeth
40013,Enfield
40014,Finniss
40015,Flinders
40016,Florey
40017,Frome
40018,Gibson
40019,Giles
40020,Hammond
40021,Hartley
40022,Heysen
40023,Hurtle Vale
40024,Kaurna
40025,Kavel
40026,King
40027,Lee
40028,Light
40029,Mackillop
40030,Mawson
40031,Morialta
40032,Morphett
40033,Mount Gambier
40034,Narungga
40035,Newland
40036,Playford
40037,Port Adelaide
40038,Ramsay
40039,Reynell
40040,Schubert
40041,Stuart
40042,Taylor
40043,Torrens
40044,Unley
40045,Waite
40046,West Torrens
40047,Wright
49494,No usual address (SA)
49797,Migratory - Offshore - Shipping (SA)
50106,Albany (South West)
50202,Armadale (East Metropolitan)
50304,Balcatta (North Metropolitan)
50405,Baldivis (South Metropolitan)
50502,Bassendean (East Metropolitan)
50605,Bateman (South Metropolitan)
50702,Belmont (East Metropolitan)
50805,Bicton (South Metropolitan)
50906,Bunbury (South West)
51004,Burns Beach (North Metropolitan)
51104,Butler (North Metropolitan)
51205,Cannington (South Metropolitan)
51304,Carine (North Metropolitan)
51401,Central Wheatbelt (Agricultural)
51504,Churchlands (North Metropolitan)
51605,Cockburn (South Metropolitan)
51706,Collie-Preston (South West)
51804,Cottesloe (North Metropolitan)
51902,Darling Range (East Metropolitan)
52006,Dawesville (South West)
52102,Forrestfield (East Metropolitan)
52205,Fremantle (South Metropolitan)
52301,Geraldton (Agricultural)
52404,Hillarys (North Metropolitan)
52505,Jandakot (South Metropolitan)
52604,Joondalup (North Metropolitan)
52702,Kalamunda (East Metropolitan)
52803,Kalgoorlie (Mining and Pastoral)
52903,Kimberley (Mining and Pastoral)
53004,Kingsley (North Metropolitan)
53105,Kwinana (South Metropolitan)
53204,Landsdale (North Metropolitan)
53306,Mandurah (South West)
53402,Maylands (East Metropolitan)
53502,Midland (East Metropolitan)
53602,Mirrabooka (East Metropolitan)
53701,Moore (Agricultural)
53802,Morley (East Metropolitan)
53902,Mount Lawley (East Metropolitan)
54006,Murray-Wellington (South West)
54104,Nedlands (North Metropolitan)
54203,North West Central (Mining and Pastoral)
54304,Perth (North Metropolitan)
54403,Pilbara (Mining and Pastoral)
54505,Riverton (South Metropolitan)
54605,Rockingham (South Metropolitan)
54701,Roe (Agricultural)
54804,Scarborough (North Metropolitan)
54905,South Perth (South Metropolitan)
55005,Southern River (South Metropolitan)
55102,Swan Hills (East Metropolitan)
55202,Thornlie (East Metropolitan)
55306,Vasse (South West)
55405,Victoria Park (South Metropolitan)
55504,Wanneroo (North Metropolitan)
55605,Warnbro (South Metropolitan)
55706,Warren-Blackwood (South West)
55802,West Swan (East Metropolitan)
55905,Willagee (South Metropolitan)
59494,No usual address (WA)
59797,Migratory - Offshore - Shipping (WA)
60105,Bass (Launceston)
60106,Bass (McIntyre)
60113,Bass (Rosevears)
60115,Bass (Windermere)
60207,Braddon (Mersey)
60208,Braddon (Montgomery)
60209,Braddon (Murchison)
60301,Clark (Derwent)
60302,Clark (Elwick)
60303,Clark (Hobart)
60304,Clark (Huon)
60310,Clark (Nelson)
60404,Franklin (Huon)
60410,Franklin (Nelson)
60411,Franklin (Pembroke)
60414,Franklin (Rumney)
60501,Lyons (Derwent)
60505,Lyons (Launceston)
60506,Lyons (McIntyre)
60508,Lyons (Montgomery)
60512,Lyons (Prosser)
60514,Lyons (Rumney)
69494,No usual address (Tas.)
69797,Migratory - Offshore - Shipping (Tas.)
70001,Arafura
70002,Araluen
70003,Arnhem
70004,Barkly
70005,Blain
70006,Braitling
70007,Brennan
70008,Casuarina
70009,Daly
70010,Drysdale
70011,Fannie Bay
70012,Fong Lim
70013,Goyder
70014,Gwoja
70015,Johnston
70016,Karama
70017,Katherine
70018,Mulka
70019,Namatjira
70020,Nelson
70021,Nightcliff
70022,Port Darwin
70023,Sanderson
70024,Spillett
70025,Wanguri
79494,No usual address (NT)
79797,Migratory - Offshore - Shipping (NT)
80001,Brindabella
80002,Ginninderra
80003,Kurrajong
80004,Murrumbidgee
80005,Yerrabi
89494,No usual address (ACT)
89797,Migratory - Offshore - Shipping (ACT)
99191,Unclassified (OT)
99494,No usual address (OT)
99797,Migratory - Offshore - Shipping (OT)
ZZZZZ,Outside Australia
