,UCL_CODE_2016,UCL_NAME_2016,SOSR_CODE_2016,SOSR_NAME_2016,SOS_CODE_2016,SOS_NAME_2016,AREA_ALBERS_SQKM_2016,UCL_CODE_2021,UCL_NAME_2021,SOSR_CODE_2021,SOSR_NAME_2021,SOS_CODE_2021,SOS_NAME_2021,AREA_ALBERS_SQKM_2021,Reason for change
37,114018,Medowie,114.0,"5,000 to 9,999",11.0,Other Urban,13.1531,113009.0,Medowie,113.0,"10,000 to 19,999",11.0,Other Urban,14.4774,
38,113013,Mudgee,113.0,"10,000 to 19,999",11.0,Other Urban,27.5999,113010.0,Mudgee,113.0,"10,000 to 19,999",11.0,Other Urban,23.7291,
39,113014,Muswellbrook,113.0,"10,000 to 19,999",11.0,Other Urban,11.8912,113011.0,Muswellbrook,113.0,"10,000 to 19,999",11.0,Other Urban,13.2246,
40,113015,Nelson Bay,113.0,"10,000 to 19,999",11.0,Other Urban,11.4693,113012.0,Nelson Bay,113.0,"10,000 to 19,999",11.0,Other Urban,11.4693,
41,113016,Raymond Terrace,113.0,"10,000 to 19,999",11.0,Other Urban,25.3202,113013.0,Raymond Terrace,113.0,"10,000 to 19,999",11.0,Other Urban,25.5358,
42,113017,Singleton,113.0,"10,000 to 19,999",11.0,Other Urban,15.9474,113014.0,Singleton,113.0,"10,000 to 19,999",11.0,Other Urban,17.2382,
43,113018,St Georges Basin - Sanctuary Point,113.0,"10,000 to 19,999",11.0,Other Urban,14.5494,113015.0,St Georges Basin - Sanctuary Point,113.0,"10,000 to 19,999",11.0,Other Urban,9.3471,
44,113019,Taree,113.0,"10,000 to 19,999",11.0,Other Urban,51.2549,113016.0,Taree,113.0,"10,000 to 19,999",11.0,Other Urban,37.8066,
45,113020,Ulladulla,113.0,"10,000 to 19,999",11.0,Other Urban,25.3203,113017.0,Ulladulla,113.0,"10,000 to 19,999",11.0,Other Urban,21.665,
46,114033,Yarrawonga - Mulwala (Mulwala Part),114.0,"5,000 to 9,999",11.0,Other Urban,18.6393,113018.0,Yarrawonga - Mulwala (Mulwala Part),113.0,"10,000 to 19,999",11.0,Other Urban,10.582,
47,114001,Alstonville,114.0,"5,000 to 9,999",11.0,Other Urban,4.5383,114001.0,Alstonville,114.0,"5,000 to 9,999",11.0,Other Urban,4.5383,
48,114004,Camden Haven,114.0,"5,000 to 9,999",11.0,Other Urban,18.8364,114002.0,Camden Haven,114.0,"5,000 to 9,999",11.0,Other Urban,18.8362,
49,114005,Casino,114.0,"5,000 to 9,999",11.0,Other Urban,12.1923,114003.0,Casino,114.0,"5,000 to 9,999",11.0,Other Urban,12.1923,
50,114006,Cooma,114.0,"5,000 to 9,999",11.0,Other Urban,17.5736,114004.0,Cooma,114.0,"5,000 to 9,999",11.0,Other Urban,17.7928,
51,114007,Cootamundra,114.0,"5,000 to 9,999",11.0,Other Urban,9.098,114005.0,Cootamundra,114.0,"5,000 to 9,999",11.0,Other Urban,9.098,
52,114008,Corowa - Wahgunyah (Corowa Part),114.0,"5,000 to 9,999",11.0,Other Urban,24.9957,114006.0,Corowa - Wahgunyah (Corowa Part),114.0,"5,000 to 9,999",11.0,Other Urban,24.962,
53,114009,Cowra,114.0,"5,000 to 9,999",11.0,Other Urban,23.8754,114007.0,Cowra,114.0,"5,000 to 9,999",11.0,Other Urban,23.8754,
54,114010,Deniliquin,114.0,"5,000 to 9,999",11.0,Other Urban,35.3535,114008.0,Deniliquin,114.0,"5,000 to 9,999",11.0,Other Urban,35.3535,
55,115053,Estella,115.0,"1,000 to 4,999",11.0,Other Urban,6.9987,114009.0,Estella,114.0,"5,000 to 9,999",11.0,Other Urban,8.9939,
56,114011,Forbes,114.0,"5,000 to 9,999",11.0,Other Urban,22.6071,114010.0,Forbes,114.0,"5,000 to 9,999",11.0,Other Urban,22.6071,
57,114012,Glen Innes,114.0,"5,000 to 9,999",11.0,Other Urban,10.123,114011.0,Glen Innes,114.0,"5,000 to 9,999",11.0,Other Urban,10.123,
58,115065,Googong,115.0,"1,000 to 4,999",11.0,Other Urban,1.9798,114012.0,Googong,114.0,"5,000 to 9,999",11.0,Other Urban,6.9164,
59,114013,Gunnedah,114.0,"5,000 to 9,999",11.0,Other Urban,33.352,114013.0,Gunnedah,114.0,"5,000 to 9,999",11.0,Other Urban,33.352,
60,114014,Helensburgh,114.0,"5,000 to 9,999",11.0,Other Urban,4.4292,114014.0,Helensburgh,114.0,"5,000 to 9,999",11.0,Other Urban,4.4292,
61,114015,Inverell,114.0,"5,000 to 9,999",11.0,Other Urban,19.9113,114015.0,Inverell,114.0,"5,000 to 9,999",11.0,Other Urban,19.9113,
62,114016,Leeton,114.0,"5,000 to 9,999",11.0,Other Urban,13.0206,114016.0,Leeton,114.0,"5,000 to 9,999",11.0,Other Urban,13.1093,
63,114017,Lennox Head,114.0,"5,000 to 9,999",11.0,Other Urban,5.0012,114017.0,Lennox Head,114.0,"5,000 to 9,999",11.0,Other Urban,6.0278,
64,114019,Merimbula,114.0,"5,000 to 9,999",11.0,Other Urban,14.9055,114018.0,Merimbula,114.0,"5,000 to 9,999",11.0,Other Urban,22.6365,
65,114020,Moree,114.0,"5,000 to 9,999",11.0,Other Urban,18.8279,114019.0,Moree,114.0,"5,000 to 9,999",11.0,Other Urban,18.8279,
66,114021,Moss Vale,114.0,"5,000 to 9,999",11.0,Other Urban,13.2336,114020.0,Moss Vale,114.0,"5,000 to 9,999",11.0,Other Urban,13.5625,
67,114022,Murwillumbah,114.0,"5,000 to 9,999",11.0,Other Urban,26.3283,114021.0,Murwillumbah,114.0,"5,000 to 9,999",11.0,Other Urban,26.3283,
68,114023,Nambucca Heads,114.0,"5,000 to 9,999",11.0,Other Urban,13.6229,114022.0,Nambucca Heads,114.0,"5,000 to 9,999",11.0,Other Urban,13.6229,
69,114024,Narrabri,114.0,"5,000 to 9,999",11.0,Other Urban,19.7692,114023.0,Narrabri,114.0,"5,000 to 9,999",11.0,Other Urban,18.1258,
70,114025,Parkes,114.0,"5,000 to 9,999",11.0,Other Urban,16.9806,114024.0,Parkes,114.0,"5,000 to 9,999",11.0,Other Urban,17.1642,
71,114026,Pottsville,114.0,"5,000 to 9,999",11.0,Other Urban,8.8988,114025.0,Pottsville,114.0,"5,000 to 9,999",11.0,Other Urban,8.9595,
72,115116,Richmond North,115.0,"1,000 to 4,999",11.0,Other Urban,2.2838,114026.0,Richmond North,114.0,"5,000 to 9,999",11.0,Other Urban,5.3625,
73,114027,Salamander Bay - Soldiers Point,114.0,"5,000 to 9,999",11.0,Other Urban,5.5698,114027.0,Salamander Bay - Soldiers Point,114.0,"5,000 to 9,999",11.0,Other Urban,5.5698,
74,115119,Scone,115.0,"1,000 to 4,999",11.0,Other Urban,11.0081,114028.0,Scone,114.0,"5,000 to 9,999",11.0,Other Urban,11.0081,
75,115121,Silverdale - Warragamba,115.0,"1,000 to 4,999",11.0,Other Urban,5.4437,114029.0,Silverdale - Warragamba,114.0,"5,000 to 9,999",11.0,Other Urban,6.1537,
76,114028,South West Rocks,114.0,"5,000 to 9,999",11.0,Other Urban,12.7605,114030.0,South West Rocks,114.0,"5,000 to 9,999",11.0,Other Urban,12.7605,
77,114029,Summerland Point - Gwandalan,114.0,"5,000 to 9,999",11.0,Other Urban,7.0648,114031.0,Summerland Point - Gwandalan,114.0,"5,000 to 9,999",11.0,Other Urban,7.0648,
78,115127,Tahmoor,115.0,"1,000 to 4,999",11.0,Other Urban,4.6534,114032.0,Tahmoor,114.0,"5,000 to 9,999",11.0,Other Urban,4.6536,
79,114030,Tumut,114.0,"5,000 to 9,999",11.0,Other Urban,12.0833,114033.0,Tumut,114.0,"5,000 to 9,999",11.0,Other Urban,12.0833,
80,114031,Wauchope,114.0,"5,000 to 9,999",11.0,Other Urban,21.5258,114034.0,Wauchope,114.0,"5,000 to 9,999",11.0,Other Urban,24.193,
81,115158,Woolgoolga,115.0,"1,000 to 4,999",11.0,Other Urban,9.1019,114035.0,Woolgoolga,114.0,"5,000 to 9,999",11.0,Other Urban,9.1019,
82,114032,Yamba,114.0,"5,000 to 9,999",11.0,Other Urban,8.8924,114036.0,Yamba,114.0,"5,000 to 9,999",11.0,Other Urban,8.8924,
