id,line_order,point_order,lon,lat
85824000000,0,0,149.02469692754136,-35.30027296212245
85824000000,0,1,149.0248510975168,-35.300279562135536
85824000000,0,2,149.0249241375053,-35.30028183214175
85824000000,0,3,149.02499723749398,-35.30028236214795
85824000000,0,4,149.02509466747927,-35.30028037215617
85824000000,0,5,149.02519192746493,-35.3002753021644
85824000000,0,6,149.0252888774511,-35.300267172172546
85824000000,0,7,149.02538537743766,-35.300255982180666
85824000000,0,8,149.0254812774247,-35.300241752188676
85824000000,0,9,149.02550573741598,-35.300280862191016
85824000000,0,10,149.02551766741195,-35.300298272192144
85824000000,0,11,149.02553712740578,-35.300323612193964
85824000000,0,12,149.02555112740157,-35.30033995219527
85824000000,0,13,149.02557360739513,-35.300363562197326
85824000000,0,14,149.0255977873886,-35.30038601219953
85824000000,0,15,149.02561479738415,-35.300400302201076
85824000000,0,16,149.02564160737748,-35.30042064220346
85824000000,0,17,149.02566986737074,-35.30043963220599
85824000000,0,18,149.02569946736398,-35.30045718220861
85824000000,0,19,149.0257303073572,-35.30047323221135
85824000000,0,20,149.02575150735274,-35.30048307221322
85824000000,0,21,149.02577316734823,-35.3004922022151
85824000000,0,22,149.02580644734155,-35.30050454221801
85824000000,0,23,149.02584058733498,-35.30051520222096
85824000000,0,24,149.02587544732847,-35.300524162224
85824000000,0,25,149.0258068373192,-35.30068124221923
85824000000,0,26,149.02578581731566,-35.30073511221781
85824000000,0,27,149.0257668573117,-35.30078948221657
85824000000,0,28,149.02574997730738,-35.30084432221552
85824000000,0,29,149.0257351873027,-35.300899562214624
85824000000,0,30,149.0257264972994,-35.30093659221414
85824000000,0,31,149.02571874729588,-35.30097375221375
85824000000,0,32,149.02570889729034,-35.30102973221327
85824000000,0,33,149.02397360756655,-35.300955392065745
85824000000,0,34,149.02395498751412,-35.30139420206714
85824000000,0,35,149.02395406751,-35.30142767206728
85824000000,0,36,149.02395455750363,-35.301477892067645
85824000000,0,37,149.02395729749685,-35.30152807206823
85824000000,0,38,149.0239622674898,-35.30157813206899
85824000000,0,39,149.02396682748488,-35.3016114020696
85824000000,0,40,149.02397237747985,-35.30164457207028
85824000000,0,41,149.02397891747472,-35.30167762207107
85824000000,0,42,149.02399055746667,-35.301726932072384
85824000000,0,43,149.0242277773152,-35.302639392098634
85824000000,0,44,149.0241720973223,-35.30265059209399
85824000000,0,45,149.02341484742192,-35.302784232030724
85824000000,0,46,149.02329351749339,-35.302365202017626
85824000000,0,47,149.02306233764128,-35.30147420199203
85824000000,0,48,149.02305322764735,-35.301437161991
85824000000,0,49,149.0230450676533,-35.30139998199007
85824000000,0,50,149.02303462766196,-35.30134396198882
85824000000,0,51,149.02302635767032,-35.30128770198774
85824000000,0,52,149.02302025767835,-35.301231251986835
85824000000,0,53,149.02301633768613,-35.30117467198612
85824000000,0,54,149.0230149376911,-35.30113691198574
85824000000,0,55,149.02301466769828,-35.301080241985346
85824000000,0,56,149.02302111771817,-35.30091457198478
85824000000,0,57,149.02305134780332,-35.30020224198253
85824000000,0,58,149.02469692754136,-35.30027296212245
